"Race Statistics" ,"Number of Precincts" ,"NP" ,"Total" ,442 ,
"SENATE DISTRICT K" ,"Times Counted" ,"NP" ,"Total" ,13881 ,
"SENATE DISTRICT K" ,"Cason, Sam" ,"DEM" ,"Total" ,5753 ,
"SENATE DISTRICT K" ,"Costello, Mia" ,"REP" ,"Total" ,7727 ,
"SENATE DISTRICT K" ,"Write-in" ,"NP" ,"Total" ,40 ,
"SENATE DISTRICT M" ,"Number of Precincts for Race" ,"NP" ,"Total" ,15 ,
"SENATE DISTRICT M" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,15 ,
"SENATE DISTRICT M" ,"Registered Voters" ,"NP" ,"Total" ,29742 ,
"SENATE DISTRICT M" ,"Times Counted" ,"NP" ,"Total" ,13757 ,
"SENATE DISTRICT M" ,"Birch, Chris" ,"REP" ,"Total" ,7923 ,
"SENATE DISTRICT M" ,"Park, Janice" ,"DEM" ,"Total" ,5503 ,
"SENATE DISTRICT M" ,"Write-in" ,"NP" ,"Total" ,34 ,
"SENATE DISTRICT O" ,"Number of Precincts for Race" ,"NP" ,"Total" ,17 ,
"SENATE DISTRICT O" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,17 ,
"SENATE DISTRICT O" ,"Registered Voters" ,"NP" ,"Total" ,31354 ,
"SENATE DISTRICT O" ,"Times Counted" ,"NP" ,"Total" ,13233 ,
"SENATE DISTRICT O" ,"Micciche, Peter A." ,"REP" ,"Total" ,7771 ,
"SENATE DISTRICT O" ,"Write-in" ,"NP" ,"Total" ,4049 ,
"SENATE DISTRICT Q" ,"Number of Precincts for Race" ,"NP" ,"Total" ,18 ,
"SENATE DISTRICT Q" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,17 ,
"SENATE DISTRICT Q" ,"Registered Voters" ,"NP" ,"Total" ,31443 ,
"SENATE DISTRICT Q" ,"Times Counted" ,"NP" ,"Total" ,15964 ,
"SENATE DISTRICT Q" ,"Kiehl, Jesse" ,"DEM" ,"Total" ,9606 ,
"SENATE DISTRICT Q" ,"Etheridge, Don R." ,"NA" ,"Total" ,5931 ,
"SENATE DISTRICT Q" ,"Write-in" ,"NP" ,"Total" ,42 ,
"SENATE DISTRICT S" ,"Number of Precincts for Race" ,"NP" ,"Total" ,66 ,
"SENATE DISTRICT S" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,66 ,
"SENATE DISTRICT S" ,"Registered Voters" ,"NP" ,"Total" ,22281 ,
"SENATE DISTRICT S" ,"Times Counted" ,"NP" ,"Total" ,8463 ,
"SENATE DISTRICT S" ,"Hoffman, Lyman F." ,"DEM" ,"Total" ,7038 ,
"SENATE DISTRICT S" ,"Write-in" ,"NP" ,"Total" ,331 ,
"HOUSE DISTRICT 1" ,"Number of Precincts for Race" ,"NP" ,"Total" ,9 ,
"HOUSE DISTRICT 1" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,9 ,
"HOUSE DISTRICT 1" ,"Registered Voters" ,"NP" ,"Total" ,13392 ,
"HOUSE DISTRICT 1" ,"Times Counted" ,"NP" ,"Total" ,4885 ,
"HOUSE DISTRICT 1" ,"LeBon, Barton S." ,"REP" ,"Total" ,2449 ,
"HOUSE DISTRICT 1" ,"Dodge, Kathryn E." ,"DEM" ,"Total" ,2370 ,
"HOUSE DISTRICT 1" ,"Write-in" ,"NP" ,"Total" ,17 ,
"HOUSE DISTRICT 2" ,"Number of Precincts for Race" ,"NP" ,"Total" ,4 ,
"HOUSE DISTRICT 2" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,4 ,
"HOUSE DISTRICT 2" ,"Registered Voters" ,"NP" ,"Total" ,11380 ,
"HOUSE DISTRICT 2" ,"Times Counted" ,"NP" ,"Total" ,3310 ,
"HOUSE DISTRICT 2" ,"Thompson, Steve" ,"REP" ,"Total" ,2178 ,
"HOUSE DISTRICT 2" ,"Lawrence, Van" ,"DEM" ,"Total" ,1069 ,
"HOUSE DISTRICT 2" ,"Write-in" ,"NP" ,"Total" ,12 ,
"HOUSE DISTRICT 3" ,"Number of Precincts for Race" ,"NP" ,"Total" ,5 ,
"HOUSE DISTRICT 3" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,5 ,
"HOUSE DISTRICT 3" ,"Registered Voters" ,"NP" ,"Total" ,14159 ,
"HOUSE DISTRICT 3" ,"Times Counted" ,"NP" ,"Total" ,5492 ,
"HOUSE DISTRICT 3" ,"Wilson, Tammie" ,"REP" ,"Total" ,4507 ,
"HOUSE DISTRICT 3" ,"Write-in" ,"NP" ,"Total" ,381 ,
"HOUSE DISTRICT 4" ,"Number of Precincts for Race" ,"NP" ,"Total" ,7 ,
"HOUSE DISTRICT 4" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,7 ,
"HOUSE DISTRICT 4" ,"Registered Voters" ,"NP" ,"Total" ,14783 ,
"HOUSE DISTRICT 4" ,"Times Counted" ,"NP" ,"Total" ,7838 ,
"HOUSE DISTRICT 4" ,"Sackett, Jim" ,"REP" ,"Total" ,3423 ,
"HOUSE DISTRICT 4" ,"Lamkin, Tim" ,"NA" ,"Total" ,367 ,
"HOUSE DISTRICT 4" ,"Hopkins, Grier" ,"DEM" ,"Total" ,3960 ,
"HOUSE DISTRICT 4" ,"Write-in" ,"NP" ,"Total" ,14 ,
"HOUSE DISTRICT 5" ,"Number of Precincts for Race" ,"NP" ,"Total" ,9 ,
"HOUSE DISTRICT 5" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,9 ,
"HOUSE DISTRICT 5" ,"Registered Voters" ,"NP" ,"Total" ,13644 ,
"HOUSE DISTRICT 5" ,"Times Counted" ,"NP" ,"Total" ,6095 ,
"HOUSE DISTRICT 5" ,"Wool, Adam L." ,"DEM" ,"Total" ,3133 ,
"HOUSE DISTRICT 5" ,"McKinley, Kevin" ,"REP" ,"Total" ,2832 ,
"HOUSE DISTRICT 5" ,"Write-in" ,"NP" ,"Total" ,28 ,
"HOUSE DISTRICT 6" ,"Number of Precincts for Race" ,"NP" ,"Total" ,33 ,
"HOUSE DISTRICT 6" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,33 ,
"HOUSE DISTRICT 6" ,"Registered Voters" ,"NP" ,"Total" ,14896 ,
"HOUSE DISTRICT 6" ,"Times Counted" ,"NP" ,"Total" ,5930 ,
"HOUSE DISTRICT 6" ,"Alexander, Ed" ,"DEM" ,"Total" ,2255 ,
"HOUSE DISTRICT 6" ,"Talerico, David M." ,"REP" ,"Total" ,3528 ,
"HOUSE DISTRICT 6" ,"Write-in" ,"NP" ,"Total" ,23 ,
"HOUSE DISTRICT 7" ,"Number of Precincts for Race" ,"NP" ,"Total" ,7 ,
"HOUSE DISTRICT 7" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,7 ,
"HOUSE DISTRICT 7" ,"Registered Voters" ,"NP" ,"Total" ,15432 ,
"HOUSE DISTRICT 7" ,"Times Counted" ,"NP" ,"Total" ,6358 ,
"HOUSE DISTRICT 7" ,"Sullivan-Leonard, Co" ,"REP" ,"Total" ,5203 ,
"HOUSE DISTRICT 7" ,"Write-in" ,"NP" ,"Total" ,260 ,
"HOUSE DISTRICT 8" ,"Number of Precincts for Race" ,"NP" ,"Total" ,6 ,
"HOUSE DISTRICT 8" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,6 ,
"HOUSE DISTRICT 8" ,"Registered Voters" ,"NP" ,"Total" ,15678 ,
"HOUSE DISTRICT 8" ,"Times Counted" ,"NP" ,"Total" ,6688 ,
"HOUSE DISTRICT 8" ,"Neuman, Mark" ,"REP" ,"Total" ,4748 ,
"HOUSE DISTRICT 8" ,"Chesbro, James L." ,"DEM" ,"Total" ,1100 ,
"HOUSE DISTRICT 8" ,"Fish, Mark" ,"LIB" ,"Total" ,711 ,
"HOUSE DISTRICT 8" ,"Write-in" ,"NP" ,"Total" ,12 ,
"HOUSE DISTRICT 9 " ,"Number of Precincts for Race" ,"NP" ,"Total" ,11 ,
"HOUSE DISTRICT 9 " ,"Number of Precincts Reporting" ,"NP" ,"Total" ,11 ,
"HOUSE DISTRICT 9 " ,"Registered Voters" ,"NP" ,"Total" ,15635 ,
"HOUSE DISTRICT 9 " ,"Times Counted" ,"NP" ,"Total" ,6351 ,
"HOUSE DISTRICT 9 " ,"Squyres, James A." ,"NA" ,"Total" ,445 ,
"HOUSE DISTRICT 9 " ,"Johnson, Bill" ,"DEM" ,"Total" ,1437 ,
"HOUSE DISTRICT 9 " ,"Rauscher, George" ,"REP" ,"Total" ,4273 ,
"HOUSE DISTRICT 9 " ,"Write-in" ,"NP" ,"Total" ,23 ,
"HOUSE DISTRICT 10" ,"Number of Precincts for Race" ,"NP" ,"Total" ,11 ,
"HOUSE DISTRICT 10" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,11 ,
"HOUSE DISTRICT 10" ,"Registered Voters" ,"NP" ,"Total" ,16141 ,
"HOUSE DISTRICT 10" ,"Times Counted" ,"NP" ,"Total" ,7220 ,
"HOUSE DISTRICT 10" ,"Eastman, David" ,"REP" ,"Total" ,4097 ,
"HOUSE DISTRICT 10" ,"Holmes, Doyle E." ,"NA" ,"Total" ,1482 ,
"HOUSE DISTRICT 10" ,"Faye-Brazel, Patrici" ,"DEM" ,"Total" ,1497 ,
"HOUSE DISTRICT 10" ,"Write-in" ,"NP" ,"Total" ,16 ,
"HOUSE DISTRICT 11" ,"Number of Precincts for Race" ,"NP" ,"Total" ,9 ,
"HOUSE DISTRICT 11" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,9 ,
"HOUSE DISTRICT 11" ,"Registered Voters" ,"NP" ,"Total" ,15859 ,
"HOUSE DISTRICT 11" ,"Times Counted" ,"NP" ,"Total" ,7551 ,
"HOUSE DISTRICT 11" ,"Patterson, Eileen E." ,"DEM" ,"Total" ,2029 ,
"HOUSE DISTRICT 11" ,"Johnson, DeLena M. " ,"REP" ,"Total" ,5360 ,
"HOUSE DISTRICT 11" ,"Write-in" ,"NP" ,"Total" ,38 ,
"HOUSE DISTRICT 12" ,"Number of Precincts for Race" ,"NP" ,"Total" ,7 ,
"HOUSE DISTRICT 12" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,7 ,
"HOUSE DISTRICT 12" ,"Registered Voters" ,"NP" ,"Total" ,15488 ,
"HOUSE DISTRICT 12" ,"Times Counted" ,"NP" ,"Total" ,7310 ,
"HOUSE DISTRICT 12" ,"Tilton, Cathy L." ,"REP" ,"Total" ,5457 ,
"HOUSE DISTRICT 12" ,"Jeffers, Stephany" ,"DEM" ,"Total" ,1690 ,
"HOUSE DISTRICT 12" ,"Write-in" ,"NP" ,"Total" ,25 ,
"HOUSE DISTRICT 13" ,"Number of Precincts for Race" ,"NP" ,"Total" ,6 ,
"HOUSE DISTRICT 13" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,6 ,
"HOUSE DISTRICT 13" ,"Registered Voters" ,"NP" ,"Total" ,12804 ,
"HOUSE DISTRICT 13" ,"Times Counted" ,"NP" ,"Total" ,4137 ,
"HOUSE DISTRICT 13" ,"Kimp, Danyelle D." ,"DEM" ,"Total" ,1134 ,
"HOUSE DISTRICT 13" ,"Dahlstrom, Nancy A." ,"REP" ,"Total" ,2892 ,
"HOUSE DISTRICT 13" ,"Write-in" ,"NP" ,"Total" ,15 ,
"HOUSE DISTRICT 14" ,"Number of Precincts for Race" ,"NP" ,"Total" ,7 ,
"HOUSE DISTRICT 14" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,7 ,
"HOUSE DISTRICT 14" ,"Registered Voters" ,"NP" ,"Total" ,16349 ,
"HOUSE DISTRICT 14" ,"Times Counted" ,"NP" ,"Total" ,7353 ,
"HOUSE DISTRICT 14" ,"Merrick, Kelly R." ,"REP" ,"Total" ,4781 ,
"HOUSE DISTRICT 14" ,"Hackenmueller, Joe" ,"DEM" ,"Total" ,2383 ,
"HOUSE DISTRICT 14" ,"Write-in" ,"NP" ,"Total" ,56 ,
"HOUSE DISTRICT 15 " ,"Number of Precincts for Race" ,"NP" ,"Total" ,5 ,
"HOUSE DISTRICT 15 " ,"Number of Precincts Reporting" ,"NP" ,"Total" ,5 ,
"HOUSE DISTRICT 15 " ,"Registered Voters" ,"NP" ,"Total" ,11902 ,
"HOUSE DISTRICT 15 " ,"Times Counted" ,"NP" ,"Total" ,2729 ,
"HOUSE DISTRICT 15 " ,"LeDoux, Gabrielle" ,"REP" ,"Total" ,1055 ,
"HOUSE DISTRICT 15 " ,"Franks, Lyn D." ,"DEM" ,"Total" ,930 ,
"HOUSE DISTRICT 15 " ,"Write-in" ,"NP" ,"Total" ,682 ,
"HOUSE DISTRICT 16 " ,"Number of Precincts for Race" ,"NP" ,"Total" ,7 ,
"HOUSE DISTRICT 16 " ,"Number of Precincts Reporting" ,"NP" ,"Total" ,7 ,
"HOUSE DISTRICT 16 " ,"Registered Voters" ,"NP" ,"Total" ,14470 ,
"HOUSE DISTRICT 16 " ,"Times Counted" ,"NP" ,"Total" ,5437 ,
"HOUSE DISTRICT 16 " ,"Wright, Stanley A." ,"REP" ,"Total" ,2377 ,
"HOUSE DISTRICT 16 " ,"Spohnholz, Ivy A." ,"DEM" ,"Total" ,2944 ,
"HOUSE DISTRICT 16 " ,"Write-in" ,"NP" ,"Total" ,27 ,
"HOUSE DISTRICT 17" ,"Number of Precincts for Race" ,"NP" ,"Total" ,7 ,
"HOUSE DISTRICT 17" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,7 ,
"HOUSE DISTRICT 17" ,"Registered Voters" ,"NP" ,"Total" ,12988 ,
"HOUSE DISTRICT 17" ,"Times Counted" ,"NP" ,"Total" ,4924 ,
"HOUSE DISTRICT 17" ,"Sanders, Marcus" ,"REP" ,"Total" ,1944 ,
"HOUSE DISTRICT 17" ,"Josephson, Andrew L." ,"DEM" ,"Total" ,2862 ,
"HOUSE DISTRICT 17" ,"Write-in" ,"NP" ,"Total" ,13 ,
"HOUSE DISTRICT 18 " ,"Number of Precincts for Race" ,"NP" ,"Total" ,10 ,
"HOUSE DISTRICT 18 " ,"Number of Precincts Reporting" ,"NP" ,"Total" ,10 ,
"HOUSE DISTRICT 18 " ,"Registered Voters" ,"NP" ,"Total" ,13991 ,
"HOUSE DISTRICT 18 " ,"Times Counted" ,"NP" ,"Total" ,5303 ,
"HOUSE DISTRICT 18 " ,"Lekanoff, Anthony C." ,"REP" ,"Total" ,1799 ,
"HOUSE DISTRICT 18 " ,"Drummond, Harriet A." ,"DEM" ,"Total" ,3372 ,
"HOUSE DISTRICT 18 " ,"Write-in" ,"NP" ,"Total" ,19 ,
"HOUSE DISTRICT 19" ,"Number of Precincts for Race" ,"NP" ,"Total" ,6 ,
"HOUSE DISTRICT 19" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,6 ,
"HOUSE DISTRICT 19" ,"Registered Voters" ,"NP" ,"Total" ,11917 ,
"HOUSE DISTRICT 19" ,"Times Counted" ,"NP" ,"Total" ,3615 ,
"HOUSE DISTRICT 19" ,"Tarr, Geran" ,"DEM" ,"Total" ,2310 ,
"HOUSE DISTRICT 19" ,"Stevens, Cean" ,"LIB" ,"Total" ,1113 ,
"HOUSE DISTRICT 19" ,"Write-in" ,"NP" ,"Total" ,45 ,
"HOUSE DISTRICT 20" ,"Number of Precincts for Race" ,"NP" ,"Total" ,9 ,
"HOUSE DISTRICT 20" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,9 ,
"HOUSE DISTRICT 20" ,"Registered Voters" ,"NP" ,"Total" ,14069 ,
"HOUSE DISTRICT 20" ,"Times Counted" ,"NP" ,"Total" ,5249 ,
"HOUSE DISTRICT 20" ,"West, Warren P." ,"LIB" ,"Total" ,263 ,
"HOUSE DISTRICT 20" ,"Martinson, Ceezar X." ,"REP" ,"Total" ,1469 ,
"HOUSE DISTRICT 20" ,"Fields, William Z." ,"DEM" ,"Total" ,3346 ,
"HOUSE DISTRICT 20" ,"Write-in" ,"NP" ,"Total" ,24 ,
"HOUSE DISTRICT 21" ,"Number of Precincts for Race" ,"NP" ,"Total" ,8 ,
"HOUSE DISTRICT 21" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,8 ,
"HOUSE DISTRICT 21" ,"Registered Voters" ,"NP" ,"Total" ,14353 ,
"HOUSE DISTRICT 21" ,"Times Counted" ,"NP" ,"Total" ,6960 ,
"HOUSE DISTRICT 21" ,"Stewart, Marilyn" ,"REP" ,"Total" ,3087 ,
"HOUSE DISTRICT 21" ,"Claman, Matt" ,"DEM" ,"Total" ,3743 ,
"HOUSE DISTRICT 21" ,"Write-in" ,"NP" ,"Total" ,15 ,
"HOUSE DISTRICT 22" ,"Number of Precincts for Race" ,"NP" ,"Total" ,7 ,
"HOUSE DISTRICT 22" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,7 ,
"HOUSE DISTRICT 22" ,"Registered Voters" ,"NP" ,"Total" ,14714 ,
"HOUSE DISTRICT 22" ,"Times Counted" ,"NP" ,"Total" ,6921 ,
"HOUSE DISTRICT 22" ,"Grenn, Jason S." ,"NA" ,"Total" ,2837 ,
"HOUSE DISTRICT 22" ,"Darden, Dustin" ,"DEM" ,"Total" ,775 ,
"HOUSE DISTRICT 22" ,"Rasmussen, Sara" ,"REP" ,"Total" ,3209 ,
"HOUSE DISTRICT 22" ,"Write-in" ,"NP" ,"Total" ,9 ,
"HOUSE DISTRICT 23" ,"Number of Precincts for Race" ,"NP" ,"Total" ,8 ,
"HOUSE DISTRICT 23" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,8 ,
"HOUSE DISTRICT 23" ,"Registered Voters" ,"NP" ,"Total" ,13703 ,
"HOUSE DISTRICT 23" ,"Times Counted" ,"NP" ,"Total" ,5257 ,
"HOUSE DISTRICT 23" ,"Tuck, Chris" ,"DEM" ,"Total" ,2749 ,
"HOUSE DISTRICT 23" ,"Dougherty, Connie R." ,"REP" ,"Total" ,2406 ,
"HOUSE DISTRICT 23" ,"Write-in" ,"NP" ,"Total" ,18 ,
"HOUSE DISTRICT 24" ,"Number of Precincts for Race" ,"NP" ,"Total" ,7 ,
"HOUSE DISTRICT 24" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,7 ,
"HOUSE DISTRICT 24" ,"Registered Voters" ,"NP" ,"Total" ,14878 ,
"HOUSE DISTRICT 24" ,"Times Counted" ,"NP" ,"Total" ,7636 ,
"HOUSE DISTRICT 24" ,"Kopp, Charles M." ,"REP" ,"Total" ,4541 ,
"HOUSE DISTRICT 24" ,"Levi, Sue" ,"DEM" ,"Total" ,2929 ,
"HOUSE DISTRICT 24" ,"Write-in" ,"NP" ,"Total" ,29 ,
"HOUSE DISTRICT 25" ,"Number of Precincts for Race" ,"NP" ,"Total" ,7 ,
"HOUSE DISTRICT 25" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,7 ,
"HOUSE DISTRICT 25" ,"Registered Voters" ,"NP" ,"Total" ,14661 ,
"HOUSE DISTRICT 25" ,"Times Counted" ,"NP" ,"Total" ,6503 ,
"HOUSE DISTRICT 25" ,"Higgins, Pat" ,"DEM" ,"Total" ,3038 ,
"HOUSE DISTRICT 25" ,"Revak, Josh C." ,"REP" ,"Total" ,3343 ,
"HOUSE DISTRICT 25" ,"Write-in" ,"NP" ,"Total" ,13 ,
"HOUSE DISTRICT 26" ,"Number of Precincts for Race" ,"NP" ,"Total" ,8 ,
"HOUSE DISTRICT 26" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,8 ,
"HOUSE DISTRICT 26" ,"Registered Voters" ,"NP" ,"Total" ,15081 ,
"HOUSE DISTRICT 26" ,"Times Counted" ,"NP" ,"Total" ,7254 ,
"HOUSE DISTRICT 26" ,"Thorne, Anita" ,"DEM" ,"Total" ,2606 ,
"HOUSE DISTRICT 26" ,"Shaw, Laddie" ,"REP" ,"Total" ,4434 ,
"HOUSE DISTRICT 26" ,"Write-in" ,"NP" ,"Total" ,28 ,
"HOUSE DISTRICT 27" ,"Number of Precincts for Race" ,"NP" ,"Total" ,8 ,
"HOUSE DISTRICT 27" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,8 ,
"HOUSE DISTRICT 27" ,"Registered Voters" ,"NP" ,"Total" ,15040 ,
"HOUSE DISTRICT 27" ,"Times Counted" ,"NP" ,"Total" ,7059 ,
"HOUSE DISTRICT 27" ,"Snyder, Liz" ,"DEM" ,"Total" ,3374 ,
"HOUSE DISTRICT 27" ,"Pruitt, Lance" ,"REP" ,"Total" ,3588 ,
"HOUSE DISTRICT 27" ,"Write-in" ,"NP" ,"Total" ,39 ,
"HOUSE DISTRICT 28" ,"Number of Precincts for Race" ,"NP" ,"Total" ,9 ,
"HOUSE DISTRICT 28" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,9 ,
"HOUSE DISTRICT 28" ,"Registered Voters" ,"NP" ,"Total" ,16277 ,
"HOUSE DISTRICT 28" ,"Times Counted" ,"NP" ,"Total" ,9316 ,
"HOUSE DISTRICT 28" ,"Lee, Amber M." ,"DEM" ,"Total" ,4108 ,
"HOUSE DISTRICT 28" ,"Johnston, Jennifer B" ,"REP" ,"Total" ,5019 ,
"HOUSE DISTRICT 28" ,"Write-in" ,"NP" ,"Total" ,21 ,
"HOUSE DISTRICT 29" ,"Number of Precincts for Race" ,"NP" ,"Total" ,11 ,
"HOUSE DISTRICT 29" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,11 ,
"HOUSE DISTRICT 29" ,"Registered Voters" ,"NP" ,"Total" ,15429 ,
"HOUSE DISTRICT 29" ,"Times Counted" ,"NP" ,"Total" ,6838 ,
"HOUSE DISTRICT 29" ,"Butler, Shawn A." ,"DEM" ,"Total" ,1891 ,
"HOUSE DISTRICT 29" ,"Carpenter, Benjamin" ,"REP" ,"Total" ,4663 ,
"HOUSE DISTRICT 29" ,"Write-in" ,"NP" ,"Total" ,29 ,
"HOUSE DISTRICT 30" ,"Number of Precincts for Race" ,"NP" ,"Total" ,6 ,
"HOUSE DISTRICT 30" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,6 ,
"HOUSE DISTRICT 30" ,"Registered Voters" ,"NP" ,"Total" ,15925 ,
"HOUSE DISTRICT 30" ,"Times Counted" ,"NP" ,"Total" ,6395 ,
"HOUSE DISTRICT 30" ,"Knopp, Gary A." ,"REP" ,"Total" ,5158 ,
"HOUSE DISTRICT 30" ,"Write-in" ,"NP" ,"Total" ,313 ,
"HOUSE DISTRICT 31" ,"Number of Precincts for Race" ,"NP" ,"Total" ,9 ,
"HOUSE DISTRICT 31" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,9 ,
"HOUSE DISTRICT 31" ,"Registered Voters" ,"NP" ,"Total" ,16962 ,
"HOUSE DISTRICT 31" ,"Times Counted" ,"NP" ,"Total" ,7524 ,
