candidate,county,district name,party,race name,votes
John H. Cox,San Bernardino,,REP,Governor,"163,036"
Gavin Newsom,San Diego,,DEM,Governor,"353,703"
John H. Cox,San Diego,,REP,Governor,"302,890"
Gavin Newsom,San Francisco,,DEM,Governor,"194,921"
John H. Cox,San Francisco,,REP,Governor,"33,851"
Gavin Newsom,San Joaquin,,DEM,Governor,"48,286"
John H. Cox,San Joaquin,,REP,Governor,"49,432"
Gavin Newsom,San Luis Obispo,,DEM,Governor,"40,014"
John H. Cox,San Luis Obispo,,REP,Governor,"40,538"
Gavin Newsom,San Mateo,,DEM,Governor,"66,042"
John H. Cox,San Mateo,,REP,Governor,"25,976"
Gavin Newsom,Santa Barbara,,DEM,Governor,"51,549"
John H. Cox,Santa Barbara,,REP,Governor,"37,704"
Gavin Newsom,Santa Clara,,DEM,Governor,"200,149"
John H. Cox,Santa Clara,,REP,Governor,"100,208"
Gavin Newsom,Santa Cruz,,DEM,Governor,"40,841"
John H. Cox,Santa Cruz,,REP,Governor,"13,985"
Gavin Newsom,Shasta,,DEM,Governor,"12,062"
John H. Cox,Shasta,,REP,Governor,"30,380"
Gavin Newsom,Sierra,,DEM,Governor,577
John H. Cox,Sierra,,REP,Governor,"1,048"
Gavin Newsom,Siskiyou,,DEM,Governor,"5,213"
John H. Cox,Siskiyou,,REP,Governor,"8,226"
Gavin Newsom,Solano,,DEM,Governor,"75,605"
John H. Cox,Solano,,REP,Governor,"49,280"
Gavin Newsom,Sonoma,,DEM,Governor,"92,166"
John H. Cox,Sonoma,,REP,Governor,"38,203"
Gavin Newsom,Stanislaus,,DEM,Governor,"36,576"
John H. Cox,Stanislaus,,REP,Governor,"42,460"
Gavin Newsom,Sutter,,DEM,Governor,"5,712"
John H. Cox,Sutter,,REP,Governor,"10,656"
Gavin Newsom,Tehama,,DEM,Governor,"3,881"
John H. Cox,Tehama,,REP,Governor,"10,434"
Gavin Newsom,Trinity,,DEM,Governor,"1,806"
John H. Cox,Trinity,,REP,Governor,"2,535"
Gavin Newsom,Tulare,,DEM,Governor,"22,031"
John H. Cox,Tulare,,REP,Governor,"32,970"
Gavin Newsom,Tuolumne,,DEM,Governor,"6,537"
John H. Cox,Tuolumne,,REP,Governor,"10,005"
Gavin Newsom,Ventura,,DEM,Governor,"105,929"
John H. Cox,Ventura,,REP,Governor,"92,775"
Gavin Newsom,Yolo,,DEM,Governor,"28,748"
John H. Cox,Yolo,,REP,Governor,"14,900"
Gavin Newsom,Yuba,,DEM,Governor,"3,751"
John H. Cox,Yuba,,REP,Governor,"7,287"
Ed Hernandez,Statewide,,DEM,Lieutenant Governor,"2,638,394"
Eleni Kounalakis,Statewide,,DEM,Lieutenant Governor,"3,323,291"
Ed Hernandez,Alameda,,DEM,Lieutenant Governor,"86,454"
Eleni Kounalakis,Alameda,,DEM,Lieutenant Governor,"136,758"
Ed Hernandez,Alpine,,DEM,Lieutenant Governor,159
Eleni Kounalakis,Alpine,,DEM,Lieutenant Governor,291
Ed Hernandez,Amador,,DEM,Lieutenant Governor,"4,282"
Eleni Kounalakis,Amador,,DEM,Lieutenant Governor,"6,914"
Ed Hernandez,Butte,,DEM,Lieutenant Governor,"21,725"
Eleni Kounalakis,Butte,,DEM,Lieutenant Governor,"32,829"
Ed Hernandez,Calaveras,,DEM,Lieutenant Governor,"4,282"
Eleni Kounalakis,Calaveras,,DEM,Lieutenant Governor,"7,374"
Ed Hernandez,Colusa,,DEM,Lieutenant Governor,"1,700"
Eleni Kounalakis,Colusa,,DEM,Lieutenant Governor,"1,785"
Ed Hernandez,Contra Costa,,DEM,Lieutenant Governor,"79,086"
Eleni Kounalakis,Contra Costa,,DEM,Lieutenant Governor,"121,014"
Ed Hernandez,Del Norte,,DEM,Lieutenant Governor,"2,205"
Eleni Kounalakis,Del Norte,,DEM,Lieutenant Governor,"3,023"
Ed Hernandez,El Dorado,,DEM,Lieutenant Governor,"16,032"
Eleni Kounalakis,El Dorado,,DEM,Lieutenant Governor,"30,040"
Ed Hernandez,Fresno,,DEM,Lieutenant Governor,"57,721"
Eleni Kounalakis,Fresno,,DEM,Lieutenant Governor,"62,737"
Ed Hernandez,Glenn,,DEM,Lieutenant Governor,"1,474"
Eleni Kounalakis,Glenn,,DEM,Lieutenant Governor,"1,439"
Ed Hernandez,Humboldt,,DEM,Lieutenant Governor,"9,813"
Eleni Kounalakis,Humboldt,,DEM,Lieutenant Governor,"14,154"
Ed Hernandez,Imperial,,DEM,Lieutenant Governor,"11,055"
Eleni Kounalakis,Imperial,,DEM,Lieutenant Governor,"6,411"
Ed Hernandez,Inyo,,DEM,Lieutenant Governor,"1,504"
Eleni Kounalakis,Inyo,,DEM,Lieutenant Governor,"1,960"
Ed Hernandez,Kern,,DEM,Lieutenant Governor,"44,361"
Eleni Kounalakis,Kern,,DEM,Lieutenant Governor,"52,880"
Ed Hernandez,Kings,,DEM,Lieutenant Governor,"7,689"
Eleni Kounalakis,Kings,,DEM,Lieutenant Governor,"7,240"
Ed Hernandez,Lake,,DEM,Lieutenant Governor,"4,198"
Eleni Kounalakis,Lake,,DEM,Lieutenant Governor,"6,686"
Ed Hernandez,Lassen,,DEM,Lieutenant Governor,"2,599"
Eleni Kounalakis,Lassen,,DEM,Lieutenant Governor,"2,694"
Ed Hernandez,Los Angeles,,DEM,Lieutenant Governor,"846,683"
Eleni Kounalakis,Los Angeles,,DEM,Lieutenant Governor,"850,283"
Ed Hernandez,Madera,,DEM,Lieutenant Governor,"10,928"
Eleni Kounalakis,Madera,,DEM,Lieutenant Governor,"10,048"
Ed Hernandez,Marin,,DEM,Lieutenant Governor,"24,323"
Eleni Kounalakis,Marin,,DEM,Lieutenant Governor,"40,105"
Ed Hernandez,Mariposa,,DEM,Lieutenant Governor,"2,084"
Eleni Kounalakis,Mariposa,,DEM,Lieutenant Governor,"2,752"
Ed Hernandez,Mendocino,,DEM,Lieutenant Governor,"4,846"
Eleni Kounalakis,Mendocino,,DEM,Lieutenant Governor,"8,291"
Ed Hernandez,Merced,,DEM,Lieutenant Governor,"13,524"
Eleni Kounalakis,Merced,,DEM,Lieutenant Governor,"11,772"
Ed Hernandez,Modoc,,DEM,Lieutenant Governor,"1,003"
Eleni Kounalakis,Modoc,,DEM,Lieutenant Governor,"1,104"
Ed Hernandez,Mono,,DEM,Lieutenant Governor,"1,484"
Eleni Kounalakis,Mono,,DEM,Lieutenant Governor,"1,868"
Ed Hernandez,Monterey,,DEM,Lieutenant Governor,"21,675"
Eleni Kounalakis,Monterey,,DEM,Lieutenant Governor,"38,438"
Ed Hernandez,Napa,,DEM,Lieutenant Governor,"6,722"
Eleni Kounalakis,Napa,,DEM,Lieutenant Governor,"11,310"
Ed Hernandez,Nevada,,DEM,Lieutenant Governor,"6,475"
Eleni Kounalakis,Nevada,,DEM,Lieutenant Governor,"13,794"
Ed Hernandez,Orange,,DEM,Lieutenant Governor,"241,369"
Eleni Kounalakis,Orange,,DEM,Lieutenant Governor,"272,964"
Ed Hernandez,Placer,,DEM,Lieutenant Governor,"22,585"
Eleni Kounalakis,Placer,,DEM,Lieutenant Governor,"47,849"
Ed Hernandez,Plumas,,DEM,Lieutenant Governor,"2,123"
Eleni Kounalakis,Plumas,,DEM,Lieutenant Governor,"3,444"
Ed Hernandez,Riverside,,DEM,Lieutenant Governor,"113,036"
Eleni Kounalakis,Riverside,,DEM,Lieutenant Governor,"119,720"
Ed Hernandez,Sacramento,,DEM,Lieutenant Governor,"55,302"
Eleni Kounalakis,Sacramento,,DEM,Lieutenant Governor,"95,151"
Ed Hernandez,San Benito,,DEM,Lieutenant Governor,"3,883"
Eleni Kounalakis,San Benito,,DEM,Lieutenant Governor,"5,385"
Ed Hernandez,San Bernardino,,DEM,Lieutenant Governor,"130,333"
Eleni Kounalakis,San Bernardino,,DEM,Lieutenant Governor,"130,659"
Ed Hernandez,San Diego,,DEM,Lieutenant Governor,"189,279"
Eleni Kounalakis,San Diego,,DEM,Lieutenant Governor,"318,674"
Ed Hernandez,San Francisco,,DEM,Lieutenant Governor,"97,219"
Eleni Kounalakis,San Francisco,,DEM,Lieutenant Governor,"109,541"
Ed Hernandez,San Joaquin,,DEM,Lieutenant Governor,"32,970"
Eleni Kounalakis,San Joaquin,,DEM,Lieutenant Governor,"47,357"
Ed Hernandez,San Luis Obispo,,DEM,Lieutenant Governor,"24,217"
Eleni Kounalakis,San Luis Obispo,,DEM,Lieutenant Governor,"37,338"
Ed Hernandez,San Mateo,,DEM,Lieutenant Governor,"30,990"
Eleni Kounalakis,San Mateo,,DEM,Lieutenant Governor,"50,691"
Ed Hernandez,Santa Barbara,,DEM,Lieutenant Governor,"27,888"
Eleni Kounalakis,Santa Barbara,,DEM,Lieutenant Governor,"42,948"
Ed Hernandez,Santa Clara,,DEM,Lieutenant Governor,"106,793"
Eleni Kounalakis,Santa Clara,,DEM,Lieutenant Governor,"169,399"
Ed Hernandez,Santa Cruz,,DEM,Lieutenant Governor,"16,698"
Eleni Kounalakis,Santa Cruz,,DEM,Lieutenant Governor,"31,065"
Ed Hernandez,Shasta,,DEM,Lieutenant Governor,"14,107"
Eleni Kounalakis,Shasta,,DEM,Lieutenant Governor,"15,158"
Ed Hernandez,Sierra,,DEM,Lieutenant Governor,413
Eleni Kounalakis,Sierra,,DEM,Lieutenant Governor,711
Ed Hernandez,Siskiyou,,DEM,Lieutenant Governor,"4,404"
Eleni Kounalakis,Siskiyou,,DEM,Lieutenant Governor,"5,177"
Ed Hernandez,Solano,,DEM,Lieutenant Governor,"40,964"
Eleni Kounalakis,Solano,,DEM,Lieutenant Governor,"65,007"
Ed Hernandez,Sonoma,,DEM,Lieutenant Governor,"39,382"
Eleni Kounalakis,Sonoma,,DEM,Lieutenant Governor,"73,047"
Ed Hernandez,Stanislaus,,DEM,Lieutenant Governor,"25,919"
Eleni Kounalakis,Stanislaus,,DEM,Lieutenant Governor,"36,492"
Ed Hernandez,Sutter,,DEM,Lieutenant Governor,"5,139"
Eleni Kounalakis,Sutter,,DEM,Lieutenant Governor,"6,940"
Ed Hernandez,Tehama,,DEM,Lieutenant Governor,"4,840"
Eleni Kounalakis,Tehama,,DEM,Lieutenant Governor,"5,223"
Ed Hernandez,Trinity,,DEM,Lieutenant Governor,"1,440"
Eleni Kounalakis,Trinity,,DEM,Lieutenant Governor,"1,866"
Ed Hernandez,Tulare,,DEM,Lieutenant Governor,"20,228"
Eleni Kounalakis,Tulare,,DEM,Lieutenant Governor,"21,658"
Ed Hernandez,Tuolumne,,DEM,Lieutenant Governor,"4,387"
Eleni Kounalakis,Tuolumne,,DEM,Lieutenant Governor,"7,222"
Ed Hernandez,Ventura,,DEM,Lieutenant Governor,"70,020"
Eleni Kounalakis,Ventura,,DEM,Lieutenant Governor,"86,773"
Ed Hernandez,Yolo,,DEM,Lieutenant Governor,"12,941"
Eleni Kounalakis,Yolo,,DEM,Lieutenant Governor,"25,059"
Ed Hernandez,Yuba,,DEM,Lieutenant Governor,"3,439"
Eleni Kounalakis,Yuba,,DEM,Lieutenant Governor,"4,779"
Alex Padilla,Statewide,,DEM,Secretary of State,"4,377,990"
Mark P. Meuser,Statewide,,REP,Secretary of State,"2,711,581"
Alex Padilla,Alameda,,DEM,Secretary of State,"195,609"
Mark P. Meuser,Alameda,,REP,Secretary of State,"51,611"
Alex Padilla,Alpine,,DEM,Secretary of State,370
Mark P. Meuser,Alpine,,REP,Secretary of State,201
Alex Padilla,Amador,,DEM,Secretary of State,"5,977"
Mark P. Meuser,Amador,,REP,Secretary of State,"9,364"
Alex Padilla,Butte,,DEM,Secretary of State,"34,289"
Mark P. Meuser,Butte,,REP,Secretary of State,"35,391"
Alex Padilla,Calaveras,,DEM,Secretary of State,"6,333"
Mark P. Meuser,Calaveras,,REP,Secretary of State,"9,626"
Alex Padilla,Colusa,,DEM,Secretary of State,"1,900"
Mark P. Meuser,Colusa,,REP,Secretary of State,"2,915"
Alex Padilla,Contra Costa,,DEM,Secretary of State,"152,654"
Mark P. Meuser,Contra Costa,,REP,Secretary of State,"71,398"
Alex Padilla,Del Norte,,DEM,Secretary of State,"3,015"
Mark P. Meuser,Del Norte,,REP,Secretary of State,"3,986"
Alex Padilla,El Dorado,,DEM,Secretary of State,"27,489"
Mark P. Meuser,El Dorado,,REP,Secretary of State,"35,726"
Alex Padilla,Fresno,,DEM,Secretary of State,"74,812"
Mark P. Meuser,Fresno,,REP,Secretary of State,"76,032"
Alex Padilla,Glenn,,DEM,Secretary of State,"1,334"
Mark P. Meuser,Glenn,,REP,Secretary of State,"2,665"
Alex Padilla,Humboldt,,DEM,Secretary of State,"18,542"
Mark P. Meuser,Humboldt,,REP,Secretary of State,"10,464"
Alex Padilla,Imperial,,DEM,Secretary of State,"13,187"
Mark P. Meuser,Imperial,,REP,Secretary of State,"6,902"
Alex Padilla,Inyo,,DEM,Secretary of State,"2,190"
Mark P. Meuser,Inyo,,REP,Secretary of State,"2,617"
Alex Padilla,Kern,,DEM,Secretary of State,"51,405"
Mark P. Meuser,Kern,,REP,Secretary of State,"79,340"
Alex Padilla,Kings,,DEM,Secretary of State,"7,762"
Mark P. Meuser,Kings,,REP,Secretary of State,"11,845"
Alex Padilla,Lake,,DEM,Secretary of State,"7,089"
Mark P. Meuser,Lake,,REP,Secretary of State,"6,091"
Alex Padilla,Lassen,,DEM,Secretary of State,"2,127"
Mark P. Meuser,Lassen,,REP,Secretary of State,"5,815"
Alex Padilla,Los Angeles,,DEM,Secretary of State,"1,374,787"
Mark P. Meuser,Los Angeles,,REP,Secretary of State,"522,419"
Alex Padilla,Madera,,DEM,Secretary of State,"11,347"
Mark P. Meuser,Madera,,REP,Secretary of State,"16,292"
Alex Padilla,Marin,,DEM,Secretary of State,"57,623"
Mark P. Meuser,Marin,,REP,Secretary of State,"15,770"
Alex Padilla,Mariposa,,DEM,Secretary of State,"2,701"
Mark P. Meuser,Mariposa,,REP,Secretary of State,"3,973"
Alex Padilla,Mendocino,,DEM,Secretary of State,"10,211"
Mark P. Meuser,Mendocino,,REP,Secretary of State,"5,209"
Alex Padilla,Merced,,DEM,Secretary of State,"16,449"
Mark P. Meuser,Merced,,REP,Secretary of State,"15,325"
Alex Padilla,Modoc,,DEM,Secretary of State,894
Mark P. Meuser,Modoc,,REP,Secretary of State,"2,333"
Alex Padilla,Mono,,DEM,Secretary of State,"2,426"
Mark P. Meuser,Mono,,REP,Secretary of State,"1,821"
Alex Padilla,Monterey,,DEM,Secretary of State,"45,624"
Mark P. Meuser,Monterey,,REP,Secretary of State,"23,810"
Alex Padilla,Napa,,DEM,Secretary of State,"13,318"
Mark P. Meuser,Napa,,REP,Secretary of State,"7,939"
Alex Padilla,Nevada,,DEM,Secretary of State,"13,952"
Mark P. Meuser,Nevada,,REP,Secretary of State,"12,436"
Alex Padilla,Orange,,DEM,Secretary of State,"313,179"
Mark P. Meuser,Orange,,REP,Secretary of State,"332,191"
Alex Padilla,Placer,,DEM,Secretary of State,"41,064"
Mark P. Meuser,Placer,,REP,Secretary of State,"53,146"
Alex Padilla,Plumas,,DEM,Secretary of State,"3,283"
Mark P. Meuser,Plumas,,REP,Secretary of State,"4,875"
Alex Padilla,Riverside,,DEM,Secretary of State,"143,653"
Mark P. Meuser,Riverside,,REP,Secretary of State,"148,773"
Alex Padilla,Sacramento,,DEM,Secretary of State,"106,250"
Mark P. Meuser,Sacramento,,REP,Secretary of State,"74,692"
Alex Padilla,San Benito,,DEM,Secretary of State,"6,334"
Mark P. Meuser,San Benito,,REP,Secretary of State,"4,730"
Alex Padilla,San Bernardino,,DEM,Secretary of State,"163,576"
Mark P. Meuser,San Bernardino,,REP,Secretary of State,"152,773"
Alex Padilla,San Diego,,DEM,Secretary of State,"362,851"
Mark P. Meuser,San Diego,,REP,Secretary of State,"283,992"
Alex Padilla,San Francisco,,DEM,Secretary of State,"193,230"
Mark P. Meuser,San Francisco,,REP,Secretary of State,"30,303"
Alex Padilla,San Joaquin,,DEM,Secretary of State,"51,475"
Mark P. Meuser,San Joaquin,,REP,Secretary of State,"44,780"
Alex Padilla,San Luis Obispo,,DEM,Secretary of State,"41,641"
Mark P. Meuser,San Luis Obispo,,REP,Secretary of State,"37,937"
Alex Padilla,San Mateo,,DEM,Secretary of State,"66,516"
Mark P. Meuser,San Mateo,,REP,Secretary of State,"24,257"
Alex Padilla,Santa Barbara,,DEM,Secretary of State,"53,291"
Mark P. Meuser,Santa Barbara,,REP,Secretary of State,"34,736"
Alex Padilla,Santa Clara,,DEM,Secretary of State,"220,514"
Mark P. Meuser,Santa Clara,,REP,Secretary of State,"94,195"
Alex Padilla,Santa Cruz,,DEM,Secretary of State,"41,460"
Mark P. Meuser,Santa Cruz,,REP,Secretary of State,"12,667"
Alex Padilla,Shasta,,DEM,Secretary of State,"13,528"
Mark P. Meuser,Shasta,,REP,Secretary of State,"28,535"
Alex Padilla,Sierra,,DEM,Secretary of State,635
Mark P. Meuser,Sierra,,REP,Secretary of State,968
Alex Padilla,Siskiyou,,DEM,Secretary of State,"5,630"
Mark P. Meuser,Siskiyou,,REP,Secretary of State,"7,714"
Alex Padilla,Solano,,DEM,Secretary of State,"78,013"
Mark P. Meuser,Solano,,REP,Secretary of State,"45,163"
Alex Padilla,Sonoma,,DEM,Secretary of State,"93,465"
Mark P. Meuser,Sonoma,,REP,Secretary of State,"35,063"
Alex Padilla,Stanislaus,,DEM,Secretary of State,"38,328"
Mark P. Meuser,Stanislaus,,REP,Secretary of State,"39,594"
Alex Padilla,Sutter,,DEM,Secretary of State,"6,154"
Mark P. Meuser,Sutter,,REP,Secretary of State,"9,794"
Alex Padilla,Tehama,,DEM,Secretary of State,"4,496"
Mark P. Meuser,Tehama,,REP,Secretary of State,"9,681"
Alex Padilla,Trinity,,DEM,Secretary of State,"1,979"
Mark P. Meuser,Trinity,,REP,Secretary of State,"2,307"
Alex Padilla,Tulare,,DEM,Secretary of State,"23,023"
Mark P. Meuser,Tulare,,REP,Secretary of State,"31,592"
Alex Padilla,Tuolumne,,DEM,Secretary of State,"6,821"
Mark P. Meuser,Tuolumne,,REP,Secretary of State,"9,408"
Alex Padilla,Ventura,,DEM,Secretary of State,"108,499"
Mark P. Meuser,Ventura,,REP,Secretary of State,"87,798"
Alex Padilla,Yolo,,DEM,Secretary of State,"29,628"
Mark P. Meuser,Yolo,,REP,Secretary of State,"13,722"
Alex Padilla,Yuba,,DEM,Secretary of State,"4,058"
Mark P. Meuser,Yuba,,REP,Secretary of State,"6,879"
Betty T. Yee,Statewide,,DEM,Controller,"4,449,706"
Konstantinos Roditis,Statewide,,REP,Controller,"2,622,133"
Betty T. Yee,Alameda,,DEM,Controller,"199,757"
Konstantinos Roditis,Alameda,,REP,Controller,"47,950"
Betty T. Yee,Alpine,,DEM,Controller,386
Konstantinos Roditis,Alpine,,REP,Controller,191
Betty T. Yee,Amador,,DEM,Controller,"6,347"
Konstantinos Roditis,Amador,,REP,Controller,"8,950"
Betty T. Yee,Butte,,DEM,Controller,"35,530"
Konstantinos Roditis,Butte,,REP,Controller,"34,080"
Betty T. Yee,Calaveras,,DEM,Controller,"6,703"
Konstantinos Roditis,Calaveras,,REP,Controller,"9,238"
Betty T. Yee,Colusa,,DEM,Controller,"2,004"
Konstantinos Roditis,Colusa,,REP,Controller,"2,758"
Betty T. Yee,Contra Costa,,DEM,Controller,"158,136"
Konstantinos Roditis,Contra Costa,,REP,Controller,"66,942"
Betty T. Yee,Del Norte,,DEM,Controller,"3,198"
Konstantinos Roditis,Del Norte,,REP,Controller,"3,790"
Betty T. Yee,El Dorado,,DEM,Controller,"29,036"
Konstantinos Roditis,El Dorado,,REP,Controller,"34,119"
Betty T. Yee,Fresno,,DEM,Controller,"78,283"
Konstantinos Roditis,Fresno,,REP,Controller,"72,173"
Betty T. Yee,Glenn,,DEM,Controller,"1,400"
Konstantinos Roditis,Glenn,,REP,Controller,"2,591"
Betty T. Yee,Humboldt,,DEM,Controller,"19,016"
Konstantinos Roditis,Humboldt,,REP,Controller,"9,913"
Betty T. Yee,Imperial,,DEM,Controller,"13,225"
Konstantinos Roditis,Imperial,,REP,Controller,"6,781"
Betty T. Yee,Inyo,,DEM,Controller,"2,322"
Konstantinos Roditis,Inyo,,REP,Controller,"2,486"
Betty T. Yee,Kern,,DEM,Controller,"53,679"
Konstantinos Roditis,Kern,,REP,Controller,"76,478"
Betty T. Yee,Kings,,DEM,Controller,"8,510"
Konstantinos Roditis,Kings,,REP,Controller,"11,102"
Betty T. Yee,Lake,,DEM,Controller,"7,417"
Konstantinos Roditis,Lake,,REP,Controller,"5,782"
Betty T. Yee,Lassen,,DEM,Controller,"2,443"
Konstantinos Roditis,Lassen,,REP,Controller,"5,479"
Betty T. Yee,Los Angeles,,DEM,Controller,"1,376,380"
Konstantinos Roditis,Los Angeles,,REP,Controller,"511,482"
Betty T. Yee,Madera,,DEM,Controller,"11,767"
Konstantinos Roditis,Madera,,REP,Controller,"15,836"
Betty T. Yee,Marin,,DEM,Controller,"58,148"
Konstantinos Roditis,Marin,,REP,Controller,"15,286"
Betty T. Yee,Mariposa,,DEM,Controller,"2,815"
Konstantinos Roditis,Mariposa,,REP,Controller,"3,848"
Betty T. Yee,Mendocino,,DEM,Controller,"10,462"
Konstantinos Roditis,Mendocino,,REP,Controller,"4,857"
Betty T. Yee,Merced,,DEM,Controller,"17,048"
Konstantinos Roditis,Merced,,REP,Controller,"14,574"
Betty T. Yee,Modoc,,DEM,Controller,984
Konstantinos Roditis,Modoc,,REP,Controller,"2,226"
Betty T. Yee,Mono,,DEM,Controller,"2,457"
Konstantinos Roditis,Mono,,REP,Controller,"1,781"
Betty T. Yee,Monterey,,DEM,Controller,"47,314"
Konstantinos Roditis,Monterey,,REP,Controller,"22,142"
Betty T. Yee,Napa,,DEM,Controller,"13,734"
Konstantinos Roditis,Napa,,REP,Controller,"7,513"
Betty T. Yee,Nevada,,DEM,Controller,"14,302"
Konstantinos Roditis,Nevada,,REP,Controller,"12,026"
Betty T. Yee,Orange,,DEM,Controller,"317,792"
Konstantinos Roditis,Orange,,REP,Controller,"325,524"
Betty T. Yee,Placer,,DEM,Controller,"43,207"
Konstantinos Roditis,Placer,,REP,Controller,"50,831"
Betty T. Yee,Plumas,,DEM,Controller,"3,472"
Konstantinos Roditis,Plumas,,REP,Controller,"4,633"
Betty T. Yee,Riverside,,DEM,Controller,"145,093"
Konstantinos Roditis,Riverside,,REP,Controller,"145,738"
Betty T. Yee,Sacramento,,DEM,Controller,"111,409"
Konstantinos Roditis,Sacramento,,REP,Controller,"69,271"
Betty T. Yee,San Benito,,DEM,Controller,"6,694"
Konstantinos Roditis,San Benito,,REP,Controller,"4,475"
Betty T. Yee,San Bernardino,,DEM,Controller,"165,695"
Konstantinos Roditis,San Bernardino,,REP,Controller,"149,321"
Betty T. Yee,San Diego,,DEM,Controller,"366,264"
Konstantinos Roditis,San Diego,,REP,Controller,"277,570"
Betty T. Yee,San Francisco,,DEM,Controller,"195,363"
Konstantinos Roditis,San Francisco,,REP,Controller,"29,437"
Betty T. Yee,San Joaquin,,DEM,Controller,"53,534"
Konstantinos Roditis,San Joaquin,,REP,Controller,"42,797"
Betty T. Yee,San Luis Obispo,,DEM,Controller,"42,884"
Konstantinos Roditis,San Luis Obispo,,REP,Controller,"36,484"
Betty T. Yee,San Mateo,,DEM,Controller,"68,002"
Konstantinos Roditis,San Mateo,,REP,Controller,"23,322"
Betty T. Yee,Santa Barbara,,DEM,Controller,"53,876"
Konstantinos Roditis,Santa Barbara,,REP,Controller,"33,515"
Betty T. Yee,Santa Clara,,DEM,Controller,"225,451"
Konstantinos Roditis,Santa Clara,,REP,Controller,"89,811"
Betty T. Yee,Santa Cruz,,DEM,Controller,"41,850"
