County,Race,Candidate,Party,Votes,PercentageOfTotalVotes,JurisdictionName
Adams,Legislative District 9 State Representative Pos. 2,Matthew Sutherland,(Prefers Democratic Party),760,25.912,Legislative
Adams,ADAMS COUNTY Assessor,Sherri L Brewer,(Prefers Republican Party),2508,100,County
Adams,ADAMS COUNTY Auditor,Heidi K. Hunt,(Prefers Republican Party),2509,100,County
Adams,ADAMS COUNTY Clerk,Paulette J. Teske,(Prefers Republican Party),2438,100,County
Adams,ADAMS COUNTY County Commissioner District 3,Terry Thompson,(Prefers Republican Party),1586,58.266,County
Adams,ADAMS COUNTY County Commissioner District 3,Miguel A. &quot;Mike&quot; Garza,(Prefers Republican Party),1136,41.734,County
Adams,ADAMS COUNTY Prosecutor,Randy J. Flyckt,(Prefers Republican Party),2381,100,County
Adams,ADAMS COUNTY Sheriff,Dale J. Wagner,(Prefers Republican Party),2446,100,County
Adams,ADAMS COUNTY Treasurer,Kayla M. Meise,(Prefers Republican Party),1609,61.5061,County
Adams,ADAMS COUNTY Treasurer,Janet L. Manke,(Prefers Republican Party),1007,38.4939,County
Adams,ADAMS COUNTY District Court Judge Position 1,Adalia A. Hille,,2334,100,County
Adams,ADAMS COUNTY District Court Judge Position 2,Carolyn J. Benzel,,2099,100,County
Adams,Supreme Court Justice Position 2,Susan Owens,,2236,100,Judicial
Adams,Supreme Court Justice Position 8,Nathan Choi,,1034,42.692,Judicial
Adams,Supreme Court Justice Position 8,Steve Gonzalez,,1388,57.308,Judicial
Adams,Supreme Court Justice Position 9,Sheryl Gordon McCloud,,2138,100,Judicial
Adams,FIRE DISTRICT 4 Special Election-Proposition 1 Maintenance and Operation Levy,Approved,,8,100,Fire
Adams,FIRE DISTRICT 4 Special Election-Proposition 1 Maintenance and Operation Levy,Rejected,,0,0,Fire
Adams,WASHTUCNA PARK AND RECREATION 2 Special Election Proposition 1  Maintenance and Operation Levy ,Approved,,66,62.2642,Park and Recreation
Adams,WASHTUCNA PARK AND RECREATION 2 Special Election Proposition 1  Maintenance and Operation Levy ,Rejected,,40,37.7358,Park and Recreation
Adams,CEMETERY DISTRICT 1 Special Election Proposition 1 Maintenance and Operation Levy,Approved,,85,78.7037,Cemetery
Adams,CEMETERY DISTRICT 1 Special Election Proposition 1 Maintenance and Operation Levy,Rejected,,23,21.2963,Cemetery
Asotin,State Measures Initiative Measure No. 1631 Initiative Measure No. 1631 concerns pollution.,Yes,,1797,24.5123,State Executive
Asotin,State Measures Initiative Measure No. 1631 Initiative Measure No. 1631 concerns pollution.,No,,5534,75.4877,State Executive
Asotin,State Measures Initiative Measure No. 1634 Initiative Measure No. 1634 concerns taxation of certain items intended for human consumption. ,Yes,,4661,63.7707,State Executive
Asotin,State Measures Initiative Measure No. 1634 Initiative Measure No. 1634 concerns taxation of certain items intended for human consumption. ,No,,2648,36.2293,State Executive
Asotin,State Measures Initiative Measure No. 1639 Initiative Measure No. 1639 concerns firearms.,Yes,,3159,42.9562,State Executive
Asotin,State Measures Initiative Measure No. 1639 Initiative Measure No. 1639 concerns firearms.,No,,4195,57.0438,State Executive
Asotin,State Measures Initiative to the Legislature 940 Initiative Measure No. 940 concerns law enforcement.,Yes,,3697,50.769,State Executive
Asotin,State Measures Initiative to the Legislature 940 Initiative Measure No. 940 concerns law enforcement.,No,,3585,49.231,State Executive
Asotin,Advisory Votes Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269,Repealed,,4900,70.3316,State Executive
Asotin,Advisory Votes Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269,Maintained,,2067,29.6684,State Executive
Asotin,United States U.S. Senator,Maria Cantwell,(Prefers Democratic Party),3036,41.4075,Federal
Asotin,United States U.S. Senator,Susan Hutchison,(Prefers Republican Party),4296,58.5925,Federal
Asotin,Congressional District 5 U.S. Representative,Cathy McMorris Rodgers,(Prefers Republican Party),4467,61.0663,Congressional
Asotin,Congressional District 5 U.S. Representative,Lisa Brown,(Prefers Democratic Party),2848,38.9337,Congressional
Asotin,Legislative District 9 State Representative Pos. 1,Mary Dye,(Prefers Republican Party),4704,64.7577,Legislative
Asotin,Legislative District 9 State Representative Pos. 1,Jenn Goulet,(Prefers Democratic Party),2560,35.2423,Legislative
Asotin,Legislative District 9 State Representative Pos. 2,Joe Schmick,(Prefers GOP Party),4407,61.2849,Legislative
Asotin,Legislative District 9 State Representative Pos. 2,Matthew Sutherland,(Prefers Democratic Party),2784,38.7151,Legislative
Asotin,COUNTYWIDE COUNTY ASSESSOR,Jenny L. Rynearson,(Prefers Republican Party),5611,100,County
Asotin,COUNTYWIDE COUNTY AUDITOR,Darla McKay,(States No Party Preference),5719,100,County
Asotin,COUNTYWIDE COUNTY CLERK,McKenzie A. Kelley,(States No Party Preference),5607,100,County
Asotin,COUNTYWIDE COUNTY COMMISSIONER 3,James Jeffords,(Prefers Republican Party),5415,100,County
Asotin,COUNTYWIDE COUNTY PROSECUTOR,Benjamin C. Nichols,(States No Party Preference),5580,100,County
Asotin,COUNTYWIDE COUNTY SHERIFF,John Hilderbrand,(States No Party Preference),5816,100,County
Asotin,COUNTYWIDE COUNTY TREASURER,Holly K Steiner,(States No Party Preference),5546,100,County
Asotin,COUNTYWIDE DISTRICT COURT JUDGE,Tina L. Kernan,,5438,100,County
Asotin,Supreme Court Justice Position 2,Susan Owens,,5362,100,Judicial
Asotin,Supreme Court Justice Position 8,Nathan Choi,,2396,40.2216,Judicial
Asotin,Supreme Court Justice Position 8,Steve Gonzalez,,3561,59.7784,Judicial
Asotin,Supreme Court Justice Position 9,Sheryl Gordon McCloud,,5236,100,Judicial
Asotin,"CITY OF ASOTIN Levy for Retention of Basic Fire, Police, and other services. Levy for Retention of Basic Fire, Police, and other services.",Yes,,156,38.3292,City/Town
Asotin,"CITY OF ASOTIN Levy for Retention of Basic Fire, Police, and other services. Levy for Retention of Basic Fire, Police, and other services.",No,,251,61.6708,City/Town
Asotin,CITY OF CLARKSTON Emergency Medical Services Excess Tax Levy City of Clarkston Emergency Medical Services Excess Tax Levy,"Yes, Levy",,1158,66.5517,City/Town
Asotin,CITY OF CLARKSTON Emergency Medical Services Excess Tax Levy City of Clarkston Emergency Medical Services Excess Tax Levy,"No, Levy",,582,33.4483,City/Town
Asotin,"SCHOOL DISTRICT 420 Capital Levy &amp; Instructional Technology, Safety and Facility Improvements Asotin-Anatone School District No. 420 Capital Levy ","Yes, Levy",,734,56.4181,School
Asotin,"SCHOOL DISTRICT 420 Capital Levy &amp; Instructional Technology, Safety and Facility Improvements Asotin-Anatone School District No. 420 Capital Levy ","No, Levy",,567,43.5819,School
Asotin,PUBLIC UTILITY DISTRICT PUBLIC UTILITY COMMISSIONER 2,Stephen (Steve) Becker,,2506,43.3414,Public Utility
Asotin,PUBLIC UTILITY DISTRICT PUBLIC UTILITY COMMISSIONER 2,Don Nuxoll,,3276,56.6586,Public Utility
Asotin,PUBLIC UTILITY DISTRICT PUBLIC UTILITY COMMISSIONER 3,Janet Hicks,,2509,43.147,Public Utility
Asotin,PUBLIC UTILITY DISTRICT PUBLIC UTILITY COMMISSIONER 3,Greg McCall,,3306,56.853,Public Utility
Benton,State Measures Initiative Measure No. 1631 Initiative Measure No. 1631 concerns pollution.,Yes,,11919,24.0778,State Executive
Benton,State Measures Initiative Measure No. 1631 Initiative Measure No. 1631 concerns pollution.,No,,37583,75.9222,State Executive
Benton,State Measures Initiative Measure No. 1634 Initiative Measure No. 1634 concerns taxation of certain items intended for human consumption. ,Yes,,32106,65.7991,State Executive
Benton,State Measures Initiative Measure No. 1634 Initiative Measure No. 1634 concerns taxation of certain items intended for human consumption. ,No,,16688,34.2009,State Executive
Benton,State Measures Initiative Measure No. 1639 Initiative Measure No. 1639 concerns firearms.,Yes,,19404,39.0682,State Executive
Benton,State Measures Initiative Measure No. 1639 Initiative Measure No. 1639 concerns firearms.,No,,30263,60.9318,State Executive
Benton,State Measures Initiative to the Legislature 940 Initiative Measure No. 940 concerns law enforcement.,Yes,,21204,42.9422,State Executive
Benton,State Measures Initiative to the Legislature 940 Initiative Measure No. 940 concerns law enforcement.,No,,28174,57.0578,State Executive
Benton,Advisory Votes Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269,Repealed,,33830,71.5888,State Executive
Benton,Advisory Votes Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269,Maintained,,13426,28.4112,State Executive
Benton,United States U.S. Senator,Maria Cantwell,(Prefers Democratic Party),18093,36.3204,Federal
Benton,United States U.S. Senator,Susan Hutchison,(Prefers Republican Party),31722,63.6796,Federal
Benton,Congressional District 4 U.S. Representative,Dan Newhouse,(Prefers Republican Party),31269,62.9434,Congressional
Benton,Congressional District 4 U.S. Representative,Christine Brown,(Prefers Democratic Party),18409,37.0566,Congressional
Benton,Legislative District 8 State Senator,Sharon Raye Brown,(Prefers Republican Party),26843,68.2611,Legislative
Benton,Legislative District 8 State Senator,Leo Perales,(Prefers Democrat Party),12481,31.7389,Legislative
Benton,Legislative District 8 State Representative Pos. 1,Brad Klippert,(Prefers Republican Party),25968,66.0075,Legislative
Benton,Legislative District 8 State Representative Pos. 1,Shir Regev,(Prefers Democratic Party),13373,33.9925,Legislative
Benton,Legislative District 8 State Representative Pos. 2,Matt Boehnke,(Prefers Republican Party),26236,67.1255,Legislative
Benton,Legislative District 8 State Representative Pos. 2,Christopher Tracy,(Prefers Democratic Party),12849,32.8745,Legislative
Benton,Legislative District 16 State Representative Pos. 1,William 'Bill' Jenkin,(Prefers Republican Party),7466,75.0126,Legislative
Benton,Legislative District 16 State Representative Pos. 1,Everett Maroon,(Prefers Democratic Party),2487,24.9874,Legislative
Benton,Legislative District 16 State Representative Pos. 2,Rebecca Francik,(Prefers Democratic Party),2974,30.0374,Legislative
Benton,Legislative District 16 State Representative Pos. 2,Skyler Rude,(Prefers Republican Party),6927,69.9626,Legislative
Benton,Benton County Assessor,Bill Spencer,(Prefers Republican Party),37340,100,County
Benton,Benton County Auditor,Brenda Chilton,(Prefers Republican Party),37889,100,County
Benton,Benton County Clerk,Josie Delvin,(Prefers Republican Party),36991,100,County
Benton,Benton County Commissioner District #2,Shon Small ,(Prefers Republican Party),25731,58.7372,County
Benton,Benton County Commissioner District #2,Lori Sanders,(Prefers Republican Party),18076,41.2628,County
Benton,Benton County Coroner,William 'Bill' Leach,(Prefers Republican Party),25184,58.3503,County
Benton,Benton County Coroner,Jamie Raebel,(Prefers Republican Party),17976,41.6497,County
Benton,Benton County Prosecuting Attorney,Andy Miller,(Prefers Democratic Party),33881,100,County
Benton,Benton County Sheriff,Jerry Hatcher,(Prefers Republican Party),37413,100,County
Benton,Benton County Treasurer,Ken Spencer,(Prefers Republican Party),36700,100,County
Benton,Benton County District Court Judge 1,Talesha &quot;Tali&quot; Sams,,13695,32.5366,County
Benton,Benton County District Court Judge 1,Terry M. Tanner,,28396,67.4634,County
Benton,Benton County District Court Judge 2,Steve Osborne,,33549,100,County
Benton,Benton County District Court Judge 3,Dan Kathren,,32389,100,County
Benton,Benton County District Court Judge 4,John S. Ziobro,,31975,100,County
Benton,Benton County District Court Judge 5,Katy Butler (Rapacz),,31739,100,County
Benton,Supreme Court Justice Position 2,Susan Owens,,34038,100,Judicial
Benton,Supreme Court Justice Position 8,Nathan Choi,,18148,43.9536,Judicial
Benton,Supreme Court Justice Position 8,Steve Gonzalez,,23141,56.0464,Judicial
Benton,Supreme Court Justice Position 9,Sheryl Gordon McCloud,,32733,100,Judicial
Benton,"Benton, Franklin Superior Court Judge Position 5",Sam Swanberg,,33714,100,Judicial
Benton,Benton County PUD Commissioner Pos. 3,Barry Bush,,20494,74.1247,Public Utility
Benton,Benton County PUD Commissioner Pos. 3,Bob Bertsch,,7154,25.8753,Public Utility
Chelan,State Measures Initiative Measure No. 1631 Initiative Measure No. 1631 concerns pollution.,Yes,,6255,30.9853,State Executive
Chelan,State Measures Initiative Measure No. 1631 Initiative Measure No. 1631 concerns pollution.,No,,13932,69.0147,State Executive
Chelan,State Measures Initiative Measure No. 1634 Initiative Measure No. 1634 concerns taxation of certain items intended for human consumption. ,Yes,,11963,59.5293,State Executive
Chelan,State Measures Initiative Measure No. 1634 Initiative Measure No. 1634 concerns taxation of certain items intended for human consumption. ,No,,8133,40.4707,State Executive
Chelan,State Measures Initiative Measure No. 1639 Initiative Measure No. 1639 concerns firearms.,Yes,,9117,44.9734,State Executive
Chelan,State Measures Initiative Measure No. 1639 Initiative Measure No. 1639 concerns firearms.,No,,11155,55.0266,State Executive
Chelan,State Measures Initiative to the Legislature 940 Initiative Measure No. 940 concerns law enforcement.,Yes,,9725,48.3062,State Executive
Chelan,State Measures Initiative to the Legislature 940 Initiative Measure No. 940 concerns law enforcement.,No,,10407,51.6938,State Executive
Chelan,Advisory Votes Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269,Repealed,,12526,65.369,State Executive
Chelan,Advisory Votes Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269,Maintained,,6636,34.631,State Executive
Chelan,United States U.S. Senator,Maria Cantwell,(Prefers Democratic Party),8445,41.8049,Federal
Chelan,United States U.S. Senator,Susan Hutchison,(Prefers Republican Party),11756,58.1951,Federal
Chelan,Congressional District 8 U.S. Representative,Dino Rossi,(Prefers GOP Party),11160,56.5206,Congressional
Chelan,Congressional District 8 U.S. Representative,Kim Schrier,(Prefers Democratic Party),8585,43.4794,Congressional
Chelan,Legislative District 12 State Representative Pos. 1,Keith Goehner,(Prefers Republican Party),11555,57.8647,Legislative
Chelan,Legislative District 12 State Representative Pos. 1,Ann Diamond,(States No Party Preference),8414,42.1353,Legislative
Chelan,Legislative District 12 State Representative Pos. 2,Mike Steele,(Prefers Republican Party),12923,64.9071,Legislative
Chelan,Legislative District 12 State Representative Pos. 2,Valerie Sarratt,(Prefers Democratic Party),6987,35.0929,Legislative
Chelan,CHELAN COUNTY ASSESSOR,Deanna Walter,(Prefers Republican Party),12256,64.563,County
Chelan,CHELAN COUNTY ASSESSOR,Kevin Ohme ,(States No Party Preference),6727,35.437,County
Chelan,CHELAN COUNTY AUDITOR,Skip Moore,(Prefers Republican Party),14366,100,County
Chelan,CHELAN COUNTY CLERK,Kim Morrison,(Prefers Republican Party),14132,100,County
Chelan,CHELAN COUNTY COMMISSIONER 2,Shon D. Smith,(Prefers Republican Party),9830,50.8115,County
Chelan,CHELAN COUNTY COMMISSIONER 2,Bob Bugert,(States No Party Preference),9516,49.1885,County
Chelan,CHELAN COUNTY CORONER,Wayne E. Harris ,(Prefers Republican Party),14075,100,County
Chelan,CHELAN COUNTY PROSECUTING ATTORNEY,Douglas J. Shae,(Prefers Republican Party),13782,100,County
Chelan,CHELAN COUNTY SHERIFF,Brian Burnett,(Prefers Republican Party),12804,65.9728,County
Chelan,CHELAN COUNTY SHERIFF,Jennifer Tyler,(States No Party Preference),6604,34.0272,County
Chelan,CHELAN COUNTY TREASURER,David E. Griffiths,(Prefers Republican Party),13989,100,County
Chelan,CHELAN COUNTY DISTRICT COURT JUDGE #01,Roy S. Fore ,,12173,100,County
Chelan,CHELAN COUNTY DISTRICT COURT JUDGE #02,Allen F. Blackmon,,7240,44.3682,County
Chelan,CHELAN COUNTY DISTRICT COURT JUDGE #02,Kyle Mott,,9078,55.6318,County
Chelan,Supreme Court Justice Position 2,Susan Owens,,13281,100,Judicial
Chelan,Supreme Court Justice Position 8,Nathan Choi,,6379,39.7149,Judicial
Chelan,Supreme Court Justice Position 8,Steve Gonzalez,,9683,60.2851,Judicial
Chelan,Supreme Court Justice Position 9,Sheryl Gordon McCloud,,12686,100,Judicial
Chelan,"Court of Appeals, Division 3, District 3 Judge Position 2",Rob Lawrence-Berrey,,12275,100,Judicial
Chelan,Chelan Superior Court Judge Position 2,Travis Brandt,,12745,73.5939,Judicial
Chelan,Chelan Superior Court Judge Position 2,Robert McSeveney,,4573,26.4061,Judicial
Chelan,Chelan Superior Court Judge Position 3,Kristin Ferrera,,12463,68.1075,Judicial
Chelan,Chelan Superior Court Judge Position 3,Charles R Steinberg,,5836,31.8925,Judicial
Chelan,UPPER VALLEY PARK AND REC DIST PROPOSITION NO. 1 OUTDOOR POOL MAINTENANCE AND OPERATIONS LEVY ,YES,,1344,62.8331,Park and Recreation
Chelan,UPPER VALLEY PARK AND REC DIST PROPOSITION NO. 1 OUTDOOR POOL MAINTENANCE AND OPERATIONS LEVY ,NO,,795,37.1669,Park and Recreation
Chelan,PUD ALL PUBLIC UTILITY DIST COMMISSIONER 2,Randy Smith,,10415,63.7666,Public Utility
Chelan,PUD ALL PUBLIC UTILITY DIST COMMISSIONER 2,Daryn Klinginsmith,,5918,36.2334,Public Utility
Chelan,PUD ALL PUBLIC UTILITY DIST COMMISSIONER B,Dennis Bolz,,12710,100,Public Utility
Chelan,Mosquito Control District # 3 Annex Proposition 1 Annexation,YES,,7,77.7778,Other
Chelan,Mosquito Control District # 3 Annex Proposition 1 Annexation,NO,,2,22.2222,Other
Chelan,Mosquito Control District # 3 Annex Proposition 2 Benefit Assessment District Tax,YES,,7,77.7778,Other
Chelan,Mosquito Control District # 3 Annex Proposition 2 Benefit Assessment District Tax,NO,,2,22.2222,Other
Chelan,Mosquito Control District #2 Petition M Annex Proposition 1 Petition &#39;M&#39; Annex,Yes,,0,0,Other
Chelan,Mosquito Control District #2 Petition M Annex Proposition 1 Petition &#39;M&#39; Annex,No,,0,0,Other
Chelan,Mosquito Control District #2 Petition T Annex Proposition 1 Petition &#39;T&#39; Annex,Yes,,31,86.1111,Other
Chelan,Mosquito Control District #2 Petition T Annex Proposition 1 Petition &#39;T&#39; Annex,No,,5,13.8889,Other
Clallam,State Measures Initiative Measure No. 1631 Initiative Measure No. 1631 concerns pollution.,Yes,,8984,38.7693,State Executive
Clallam,State Measures Initiative Measure No. 1631 Initiative Measure No. 1631 concerns pollution.,No,,14189,61.2307,State Executive
Clallam,State Measures Initiative Measure No. 1634 Initiative Measure No. 1634 concerns taxation of certain items intended for human consumption. ,Yes,,13409,58.3431,State Executive
Clallam,State Measures Initiative Measure No. 1634 Initiative Measure No. 1634 concerns taxation of certain items intended for human consumption. ,No,,9574,41.6569,State Executive
Clallam,State Measures Initiative Measure No. 1639 Initiative Measure No. 1639 concerns firearms.,Yes,,12190,52.5024,State Executive
Clallam,State Measures Initiative Measure No. 1639 Initiative Measure No. 1639 concerns firearms.,No,,11028,47.4976,State Executive
Clallam,State Measures Initiative to the Legislature 940 Initiative Measure No. 940 concerns law enforcement.,Yes,,12513,54.1618,State Executive
Clallam,State Measures Initiative to the Legislature 940 Initiative Measure No. 940 concerns law enforcement.,No,,10590,45.8382,State Executive
Clallam,Advisory Votes Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269,Repealed,,12551,57.3708,State Executive
Clallam,Advisory Votes Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269,Maintained,,9326,42.6292,State Executive
Clallam,United States U.S. Senator,Maria Cantwell,(Prefers Democratic Party),11843,51.0562,Federal
Clallam,United States U.S. Senator,Susan Hutchison,(Prefers Republican Party),11353,48.9438,Federal
Clallam,Congressional District 6 U.S. Representative,Derek Kilmer,(Prefers Democratic Party),13188,57.3142,Congressional
Clallam,Congressional District 6 U.S. Representative,Douglas Dightman,(Prefers Republican Party),9822,42.6858,Congressional
Clallam,Legislative District 24 State Representative Pos. 1,Mike Chapman,(Prefers Democratic Party),12697,55.1372,Legislative
Clallam,Legislative District 24 State Representative Pos. 1,Jodi Wilke,(Prefers Republican Party),10331,44.8628,Legislative
Clallam,Legislative District 24 State Representative Pos. 2,Steve Tharinger,(Prefers Democratic Party),11978,52.0919,Legislative
Clallam,Legislative District 24 State Representative Pos. 2,Jim McEntire,(Prefers Republican Party),11016,47.9081,Legislative
Clallam,COUNTYWIDE Assessor,Pamela Rushton,,15907,100,County
Clallam,COUNTYWIDE Auditor,Shoona Riggs,,16054,100,County
Clallam,COUNTYWIDE Director of Community Development,Julie Gardiner,,7431,37.5835,County
Clallam,COUNTYWIDE Director of Community Development,Mary Ellen Winborn,,12341,62.4165,County
Clallam,COUNTYWIDE Prosecuting Attorney,Mark Nichols,(Prefers Republican Party),12765,58.1788,County
Clallam,COUNTYWIDE Prosecuting Attorney,Selinda Barkhuis,(States No Party Preference),9176,41.8212,County
Clallam,COUNTYWIDE Sheriff,James (Jim) McLaughlin,,5737,26.8926,County
Clallam,COUNTYWIDE Sheriff,Bill Benedict,,15596,73.1074,County
Clallam,COUNTYWIDE Treasurer,Teresa Marchi,,15600,100,County
Clallam,COUNTY COMMISSIONER DIST 3 County Commissioner Dist. No. 3,Bill Peach,(Prefers Republican Party),2693,53.1898,County
Clallam,COUNTY COMMISSIONER DIST 3 County Commissioner Dist. No. 3,"Howard (Mike) Doherty, Jr.",(Prefers Democratic Party),2370,46.8102,County
Clallam,Supreme Court Justice Position 2,Susan Owens,,15407,100,Judicial
Clallam,Supreme Court Justice Position 8,Nathan Choi,,6376,34.3294,Judicial
Clallam,Supreme Court Justice Position 8,Steve Gonzalez,,12197,65.6706,Judicial
Clallam,Supreme Court Justice Position 9,Sheryl Gordon McCloud,,14706,100,Judicial
Clallam,"Court of Appeals, Division 2, District 2 Judge Position 2",Rebecca Glasgow,,14703,100,Judicial
Clallam,COURT DISTRICT 1 Judge - District Court 1,Dave Neupert,,10119,51.525,Judicial
Clallam,COURT DISTRICT 1 Judge - District Court 1,Suzanne M.B. Hayden,,9520,48.475,Judicial
Clallam,COURT DISTRICT 2 Judge - District Court 2,John Black,,627,50.16,Judicial
Clallam,COURT DISTRICT 2 Judge - District Court 2,Erik Rohrer,,623,49.84,Judicial
Clallam,PUBLIC UTILITY DIST 1 Commissioner District No. 3,Jim Waddell,,7844,50.5803,Public Utility
Clallam,PUBLIC UTILITY DIST 1 Commissioner District No. 3,Ted Simpson,,7664,49.4197,Public Utility
Clallam,CITY OF SEQUIM Proposition No. 1: RENEWAL OF SALES AND USE TAX LEVY FOR TRANSPORTATION IMPROVEMENT PROGRAM Renewal of Sales and Use Tax Levy for Transportation Improvement Program,Yes,,2075,77.31,City/Town
Clallam,CITY OF SEQUIM Proposition No. 1: RENEWAL OF SALES AND USE TAX LEVY FOR TRANSPORTATION IMPROVEMENT PROGRAM Renewal of Sales and Use Tax Levy for Transportation Improvement Program,No,,609,22.69,City/Town
Clallam,FIRE DISTRICT 3 Proposition No. 1: MULTIPLE YEAR LEVY LID LIFT Multiple Year Levy Lid Lift,Yes,,7801,60.6515,Fire
Clallam,FIRE DISTRICT 3 Proposition No. 1: MULTIPLE YEAR LEVY LID LIFT Multiple Year Levy Lid Lift,No,,5061,39.3485,Fire
Clallam,SEQUIM LIBRARY CAPITAL FACILITY AREA Proposition No. 1: ESTABLISHMENT OF SEQUIM LIBRARY CAPITAL FACILITY AREA Establishment of the Sequim Library Capital Facility Area,Yes,,7961,64.8607,Library
Clallam,SEQUIM LIBRARY CAPITAL FACILITY AREA Proposition No. 1: ESTABLISHMENT OF SEQUIM LIBRARY CAPITAL FACILITY AREA Establishment of the Sequim Library Capital Facility Area,No,,4313,35.1393,Library
Clallam,SEQUIM LIBRARY CAPITAL FACILITY AREA Proposition No. 2: FINANCING A LIBRARY IN THE SEQUIM LIBRARY CAPITAL FACILITY AREA Financing a New Library in the Sequim Library Capital Facility Area,Yes,,7143,58.0307,Library
Clallam,SEQUIM LIBRARY CAPITAL FACILITY AREA Proposition No. 2: FINANCING A LIBRARY IN THE SEQUIM LIBRARY CAPITAL FACILITY AREA Financing a New Library in the Sequim Library Capital Facility Area,No,,5166,41.9693,Library
Clark,State Measures Initiative Measure No. 1631 Initiative Measure No. 1631 concerns pollution.,Yes,,58893,40.582,State Executive
Clark,State Measures Initiative Measure No. 1631 Initiative Measure No. 1631 concerns pollution.,No,,86228,59.418,State Executive
Clark,State Measures Initiative Measure No. 1634 Initiative Measure No. 1634 concerns taxation of certain items intended for human consumption. ,Yes,,77354,53.58,State Executive
Clark,State Measures Initiative Measure No. 1634 Initiative Measure No. 1634 concerns taxation of certain items intended for human consumption. ,No,,67017,46.42,State Executive
Clark,State Measures Initiative Measure No. 1639 Initiative Measure No. 1639 concerns firearms.,Yes,,79785,54.8173,State Executive
Clark,State Measures Initiative Measure No. 1639 Initiative Measure No. 1639 concerns firearms.,No,,65762,45.1827,State Executive
Clark,State Measures Initiative to the Legislature 940 Initiative Measure No. 940 concerns law enforcement.,Yes,,77894,53.8009,State Executive
Clark,State Measures Initiative to the Legislature 940 Initiative Measure No. 940 concerns law enforcement.,No,,66888,46.1991,State Executive
Clark,Advisory Votes Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269,Repealed,,77855,56.8762,State Executive
Clark,Advisory Votes Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269,Maintained,,59030,43.1238,State Executive
Clark,United States U.S. Senator,Maria Cantwell,(Prefers Democratic Party),77649,53.4111,Federal
Clark,United States U.S. Senator,Susan Hutchison,(Prefers Republican Party),67731,46.5889,Federal
Clark,Congressional District 3 U.S. Representative,Jaime Herrera Beutler,(Prefers Republican Party),70203,48.211,Congressional
Clark,Congressional District 3 U.S. Representative,Carolyn Long,(Prefers Democratic Party),75413,51.789,Congressional
Clark,Legislative District 14 State Representative Pos. 1,Chris Corry,(Prefers Republican Party),812,57.1429,Legislative
Clark,Legislative District 14 State Representative Pos. 1,Sasha Bentley,(Prefers Democratic Party),609,42.8571,Legislative
Clark,Legislative District 14 State Representative Pos. 2,Gina Mosbrucker,(Prefers Republican Party),846,59.5355,Legislative
