race name,county,precincts reporting,candidate,votes
Secretary of State,Mohave,100.00%,TOTAL,"64,404"
Secretary of State,Navajo,100.00%,"Gaynor, Steve (REP)","17,113"
Secretary of State,Navajo,100.00%,"Hobbs, Katie (DEM)","15,613"
Secretary of State,Navajo,100.00%,TOTAL,"32,726"
Secretary of State,Pima,99.20%,"Gaynor, Steve (REP)","133,578"
Secretary of State,Pima,99.20%,"Hobbs, Katie (DEM)","185,720"
Secretary of State,Pima,99.20%,TOTAL,"319,298"
Secretary of State,Pinal,99.02%,"Gaynor, Steve (REP)","48,685"
Secretary of State,Pinal,99.02%,"Hobbs, Katie (DEM)","34,312"
Secretary of State,Pinal,99.02%,TOTAL,"82,997"
Secretary of State,SantaCruz,100.00%,"Gaynor, Steve (REP)","3,525"
Secretary of State,SantaCruz,100.00%,"Hobbs, Katie (DEM)","8,805"
Secretary of State,SantaCruz,100.00%,TOTAL,"12,330"
Secretary of State,Yavapai,100.00%,"Gaynor, Steve (REP)","62,766"
Secretary of State,Yavapai,100.00%,"Hobbs, Katie (DEM)","36,053"
Secretary of State,Yavapai,100.00%,TOTAL,"98,819"
Secretary of State,Yuma,97.73%,"Gaynor, Steve (REP)","20,824"
Secretary of State,Yuma,97.73%,"Hobbs, Katie (DEM)","18,137"
Secretary of State,Yuma,97.73%,TOTAL,"38,961"
Secretary of State,TOTAL,  ,"Gaynor, Steve (REP)","947,844"
Secretary of State,TOTAL,  ,"Hobbs, Katie (DEM)","927,575"
Secretary of State,TOTAL,  ,TOTAL,"1,875,419"
Attorney General,Apache,100.00%,"Brnovich, Mark (REP)","8,356"
Attorney General,Apache,100.00%,"Contreras, January (DEM)","16,150"
Attorney General,Apache,100.00%,TOTAL,"24,506"
Attorney General,Cochise,100.00%,"Brnovich, Mark (REP)","25,916"
Attorney General,Cochise,100.00%,"Contreras, January (DEM)","17,357"
Attorney General,Cochise,100.00%,TOTAL,"43,273"
Attorney General,Coconino,100.00%,"Brnovich, Mark (REP)","17,193"
Attorney General,Coconino,100.00%,"Contreras, January (DEM)","26,716"
Attorney General,Coconino,100.00%,TOTAL,"43,909"
Attorney General,Gila,100.00%,"Brnovich, Mark (REP)","12,855"
Attorney General,Gila,100.00%,"Contreras, January (DEM)","6,655"
Attorney General,Gila,100.00%,TOTAL,"19,510"
Attorney General,Graham,100.00%,"Brnovich, Mark (REP)","7,275"
Attorney General,Graham,100.00%,"Contreras, January (DEM)","3,129"
Attorney General,Graham,100.00%,TOTAL,"10,404"
Attorney General,Greenlee,100.00%,"Brnovich, Mark (REP)","1,493"
Attorney General,Greenlee,100.00%,"Contreras, January (DEM)",999
Attorney General,Greenlee,100.00%,TOTAL,"2,492"
Attorney General,LaPaz,100.00%,"Brnovich, Mark (REP)","3,142"
Attorney General,LaPaz,100.00%,"Contreras, January (DEM)","1,281"
Attorney General,LaPaz,100.00%,TOTAL,"4,423"
Attorney General,Maricopa,99.73%,"Brnovich, Mark (REP)","567,183"
Attorney General,Maricopa,99.73%,"Contreras, January (DEM)","504,100"
Attorney General,Maricopa,99.73%,TOTAL,"1,071,283"
Attorney General,Mohave,100.00%,"Brnovich, Mark (REP)","48,346"
Attorney General,Mohave,100.00%,"Contreras, January (DEM)","15,603"
Attorney General,Mohave,100.00%,TOTAL,"63,949"
Attorney General,Navajo,100.00%,"Brnovich, Mark (REP)","17,816"
Attorney General,Navajo,100.00%,"Contreras, January (DEM)","14,780"
Attorney General,Navajo,100.00%,TOTAL,"32,596"
Attorney General,Pima,99.20%,"Brnovich, Mark (REP)","135,369"
Attorney General,Pima,99.20%,"Contreras, January (DEM)","182,648"
Attorney General,Pima,99.20%,TOTAL,"318,017"
Attorney General,Pinal,99.02%,"Brnovich, Mark (REP)","50,279"
Attorney General,Pinal,99.02%,"Contreras, January (DEM)","32,215"
Attorney General,Pinal,99.02%,TOTAL,"82,494"
Attorney General,SantaCruz,100.00%,"Brnovich, Mark (REP)","3,557"
Attorney General,SantaCruz,100.00%,"Contreras, January (DEM)","8,626"
Attorney General,SantaCruz,100.00%,TOTAL,"12,183"
Attorney General,Yavapai,100.00%,"Brnovich, Mark (REP)","64,317"
Attorney General,Yavapai,100.00%,"Contreras, January (DEM)","34,346"
Attorney General,Yavapai,100.00%,TOTAL,"98,663"
Attorney General,Yuma,97.73%,"Brnovich, Mark (REP)","20,756"
Attorney General,Yuma,97.73%,"Contreras, January (DEM)","18,194"
Attorney General,Yuma,97.73%,TOTAL,"38,950"
Attorney General,TOTAL,  ,"Brnovich, Mark (REP)","983,853"
Attorney General,TOTAL,  ,"Contreras, January (DEM)","882,799"
Attorney General,TOTAL,  ,TOTAL,"1,866,652"
State Treasurer,Apache,100.00%,"Manoil, Mark (DEM)","16,052"
State Treasurer,Apache,100.00%,"Yee, Kimberly (REP)","8,444"
State Treasurer,Apache,100.00%,TOTAL,"24,496"
State Treasurer,Cochise,100.00%,"Manoil, Mark (DEM)","15,985"
State Treasurer,Cochise,100.00%,"Yee, Kimberly (REP)","27,026"
State Treasurer,Cochise,100.00%,TOTAL,"43,011"
State Treasurer,Coconino,100.00%,"Manoil, Mark (DEM)","25,891"
State Treasurer,Coconino,100.00%,"Yee, Kimberly (REP)","17,650"
State Treasurer,Coconino,100.00%,TOTAL,"43,541"
State Treasurer,Gila,100.00%,"Manoil, Mark (DEM)","6,473"
State Treasurer,Gila,100.00%,"Yee, Kimberly (REP)","13,044"
State Treasurer,Gila,100.00%,TOTAL,"19,517"
State Treasurer,Graham,100.00%,"Manoil, Mark (DEM)","3,083"
State Treasurer,Graham,100.00%,"Yee, Kimberly (REP)","7,357"
State Treasurer,Graham,100.00%,TOTAL,"10,440"
State Treasurer,Greenlee,100.00%,"Manoil, Mark (DEM)","1,034"
State Treasurer,Greenlee,100.00%,"Yee, Kimberly (REP)","1,473"
State Treasurer,Greenlee,100.00%,TOTAL,"2,507"
State Treasurer,LaPaz,100.00%,"Manoil, Mark (DEM)","1,243"
State Treasurer,LaPaz,100.00%,"Yee, Kimberly (REP)","3,165"
State Treasurer,LaPaz,100.00%,TOTAL,"4,408"
State Treasurer,Maricopa,99.73%,"Manoil, Mark (DEM)","472,921"
State Treasurer,Maricopa,99.73%,"Yee, Kimberly (REP)","586,151"
State Treasurer,Maricopa,99.73%,TOTAL,"1,059,072"
State Treasurer,Mohave,100.00%,"Manoil, Mark (DEM)","15,408"
State Treasurer,Mohave,100.00%,"Yee, Kimberly (REP)","48,451"
State Treasurer,Mohave,100.00%,TOTAL,"63,859"
State Treasurer,Navajo,100.00%,"Manoil, Mark (DEM)","14,457"
State Treasurer,Navajo,100.00%,"Yee, Kimberly (REP)","18,083"
State Treasurer,Navajo,100.00%,TOTAL,"32,540"
State Treasurer,Pima,99.20%,"Manoil, Mark (DEM)","169,905"
State Treasurer,Pima,99.20%,"Yee, Kimberly (REP)","146,437"
State Treasurer,Pima,99.20%,TOTAL,"316,342"
State Treasurer,Pinal,99.02%,"Manoil, Mark (DEM)","31,183"
State Treasurer,Pinal,99.02%,"Yee, Kimberly (REP)","50,620"
State Treasurer,Pinal,99.02%,TOTAL,"81,803"
State Treasurer,SantaCruz,100.00%,"Manoil, Mark (DEM)","8,469"
State Treasurer,SantaCruz,100.00%,"Yee, Kimberly (REP)","3,908"
State Treasurer,SantaCruz,100.00%,TOTAL,"12,377"
State Treasurer,Yavapai,100.00%,"Manoil, Mark (DEM)","32,310"
State Treasurer,Yavapai,100.00%,"Yee, Kimberly (REP)","65,687"
State Treasurer,Yavapai,100.00%,TOTAL,"97,997"
State Treasurer,Yuma,97.73%,"Manoil, Mark (DEM)","17,033"
State Treasurer,Yuma,97.73%,"Yee, Kimberly (REP)","21,800"
State Treasurer,Yuma,97.73%,TOTAL,"38,833"
State Treasurer,TOTAL,  ,"Manoil, Mark (DEM)","831,447"
State Treasurer,TOTAL,  ,"Yee, Kimberly (REP)","1,019,296"
State Treasurer,TOTAL,  ,TOTAL,"1,850,743"
Superintendent of Public Instruction,Apache,100.00%,"Hoffman, Kathy (DEM)","16,894"
Superintendent of Public Instruction,Apache,100.00%,"Riggs, Frank (REP)","7,615"
Superintendent of Public Instruction,Apache,100.00%,TOTAL,"24,509"
Superintendent of Public Instruction,Cochise,100.00%,"Hoffman, Kathy (DEM)","18,148"
Superintendent of Public Instruction,Cochise,100.00%,"Riggs, Frank (REP)","24,948"
Superintendent of Public Instruction,Cochise,100.00%,TOTAL,"43,096"
Superintendent of Public Instruction,Coconino,100.00%,"Hoffman, Kathy (DEM)","27,917"
Superintendent of Public Instruction,Coconino,100.00%,"Riggs, Frank (REP)","15,760"
Superintendent of Public Instruction,Coconino,100.00%,TOTAL,"43,677"
Superintendent of Public Instruction,Gila,100.00%,"Hoffman, Kathy (DEM)","7,546"
Superintendent of Public Instruction,Gila,100.00%,"Riggs, Frank (REP)","12,038"
Superintendent of Public Instruction,Gila,100.00%,TOTAL,"19,584"
Superintendent of Public Instruction,Graham,100.00%,"Hoffman, Kathy (DEM)","3,664"
Superintendent of Public Instruction,Graham,100.00%,"Riggs, Frank (REP)","6,789"
Superintendent of Public Instruction,Graham,100.00%,TOTAL,"10,453"
Superintendent of Public Instruction,Greenlee,100.00%,"Hoffman, Kathy (DEM)","1,124"
Superintendent of Public Instruction,Greenlee,100.00%,"Riggs, Frank (REP)","1,382"
Superintendent of Public Instruction,Greenlee,100.00%,TOTAL,"2,506"
Superintendent of Public Instruction,LaPaz,100.00%,"Hoffman, Kathy (DEM)","1,452"
Superintendent of Public Instruction,LaPaz,100.00%,"Riggs, Frank (REP)","2,970"
Superintendent of Public Instruction,LaPaz,100.00%,TOTAL,"4,422"
Superintendent of Public Instruction,Maricopa,99.73%,"Hoffman, Kathy (DEM)","539,393"
Superintendent of Public Instruction,Maricopa,99.73%,"Riggs, Frank (REP)","517,317"
Superintendent of Public Instruction,Maricopa,99.73%,TOTAL,"1,056,710"
Superintendent of Public Instruction,Mohave,100.00%,"Hoffman, Kathy (DEM)","17,287"
Superintendent of Public Instruction,Mohave,100.00%,"Riggs, Frank (REP)","46,460"
Superintendent of Public Instruction,Mohave,100.00%,TOTAL,"63,747"
Superintendent of Public Instruction,Navajo,100.00%,"Hoffman, Kathy (DEM)","16,109"
Superintendent of Public Instruction,Navajo,100.00%,"Riggs, Frank (REP)","16,652"
Superintendent of Public Instruction,Navajo,100.00%,TOTAL,"32,761"
Superintendent of Public Instruction,Pima,99.20%,"Hoffman, Kathy (DEM)","185,762"
Superintendent of Public Instruction,Pima,99.20%,"Riggs, Frank (REP)","130,738"
Superintendent of Public Instruction,Pima,99.20%,TOTAL,"316,500"
Superintendent of Public Instruction,Pinal,99.02%,"Hoffman, Kathy (DEM)","34,803"
Superintendent of Public Instruction,Pinal,99.02%,"Riggs, Frank (REP)","47,734"
Superintendent of Public Instruction,Pinal,99.02%,TOTAL,"82,537"
Superintendent of Public Instruction,SantaCruz,100.00%,"Hoffman, Kathy (DEM)","8,797"
Superintendent of Public Instruction,SantaCruz,100.00%,"Riggs, Frank (REP)","3,544"
Superintendent of Public Instruction,SantaCruz,100.00%,TOTAL,"12,341"
Superintendent of Public Instruction,Yavapai,100.00%,"Hoffman, Kathy (DEM)","37,409"
Superintendent of Public Instruction,Yavapai,100.00%,"Riggs, Frank (REP)","60,473"
Superintendent of Public Instruction,Yavapai,100.00%,TOTAL,"97,882"
Superintendent of Public Instruction,Yuma,97.73%,"Hoffman, Kathy (DEM)","18,526"
Superintendent of Public Instruction,Yuma,97.73%,"Riggs, Frank (REP)","20,228"
Superintendent of Public Instruction,Yuma,97.73%,TOTAL,"38,754"
Superintendent of Public Instruction,TOTAL,  ,"Hoffman, Kathy (DEM)","934,831"
Superintendent of Public Instruction,TOTAL,  ,"Riggs, Frank (REP)","914,648"
Superintendent of Public Instruction,TOTAL,  ,TOTAL,"1,849,479"
State Mine Inspector,Apache,100.00%,"Hart, Joe (REP)","7,942"
State Mine Inspector,Apache,100.00%,"Pierce, William ""Bill"" (DEM)","16,501"
State Mine Inspector,Apache,100.00%,TOTAL,"24,443"
State Mine Inspector,Cochise,100.00%,"Hart, Joe (REP)","26,172"
State Mine Inspector,Cochise,100.00%,"Pierce, William ""Bill"" (DEM)","16,658"
State Mine Inspector,Cochise,100.00%,TOTAL,"42,830"
State Mine Inspector,Coconino,100.00%,"Hart, Joe (REP)","16,560"
State Mine Inspector,Coconino,100.00%,"Pierce, William ""Bill"" (DEM)","26,558"
State Mine Inspector,Coconino,100.00%,TOTAL,"43,118"
State Mine Inspector,Gila,100.00%,"Hart, Joe (REP)","12,688"
State Mine Inspector,Gila,100.00%,"Pierce, William ""Bill"" (DEM)","6,699"
State Mine Inspector,Gila,100.00%,TOTAL,"19,387"
State Mine Inspector,Graham,100.00%,"Hart, Joe (REP)","7,135"
State Mine Inspector,Graham,100.00%,"Pierce, William ""Bill"" (DEM)","3,249"
State Mine Inspector,Graham,100.00%,TOTAL,"10,384"
State Mine Inspector,Greenlee,100.00%,"Hart, Joe (REP)","1,459"
State Mine Inspector,Greenlee,100.00%,"Pierce, William ""Bill"" (DEM)","1,038"
State Mine Inspector,Greenlee,100.00%,TOTAL,"2,497"
State Mine Inspector,LaPaz,100.00%,"Hart, Joe (REP)","3,059"
State Mine Inspector,LaPaz,100.00%,"Pierce, William ""Bill"" (DEM)","1,359"
State Mine Inspector,LaPaz,100.00%,TOTAL,"4,418"
State Mine Inspector,Maricopa,99.73%,"Hart, Joe (REP)","541,308"
State Mine Inspector,Maricopa,99.73%,"Pierce, William ""Bill"" (DEM)","489,465"
State Mine Inspector,Maricopa,99.73%,TOTAL,"1,030,773"
State Mine Inspector,Mohave,100.00%,"Hart, Joe (REP)","47,686"
State Mine Inspector,Mohave,100.00%,"Pierce, William ""Bill"" (DEM)","15,790"
State Mine Inspector,Mohave,100.00%,TOTAL,"63,476"
State Mine Inspector,Navajo,100.00%,"Hart, Joe (REP)","17,238"
State Mine Inspector,Navajo,100.00%,"Pierce, William ""Bill"" (DEM)","15,165"
State Mine Inspector,Navajo,100.00%,TOTAL,"32,403"
State Mine Inspector,Pima,99.20%,"Hart, Joe (REP)","139,533"
State Mine Inspector,Pima,99.20%,"Pierce, William ""Bill"" (DEM)","175,065"
State Mine Inspector,Pima,99.20%,TOTAL,"314,598"
State Mine Inspector,Pinal,99.02%,"Hart, Joe (REP)","49,178"
State Mine Inspector,Pinal,99.02%,"Pierce, William ""Bill"" (DEM)","32,233"
State Mine Inspector,Pinal,99.02%,TOTAL,"81,411"
State Mine Inspector,SantaCruz,100.00%,"Hart, Joe (REP)","3,641"
State Mine Inspector,SantaCruz,100.00%,"Pierce, William ""Bill"" (DEM)","8,602"
State Mine Inspector,SantaCruz,100.00%,TOTAL,"12,243"
State Mine Inspector,Yavapai,100.00%,"Hart, Joe (REP)","63,100"
State Mine Inspector,Yavapai,100.00%,"Pierce, William ""Bill"" (DEM)","34,782"
State Mine Inspector,Yavapai,100.00%,TOTAL,"97,882"
State Mine Inspector,Yuma,97.73%,"Hart, Joe (REP)","20,996"
State Mine Inspector,Yuma,97.73%,"Pierce, William ""Bill"" (DEM)","17,440"
State Mine Inspector,Yuma,97.73%,TOTAL,"38,436"
State Mine Inspector,TOTAL,  ,"Hart, Joe (REP)","957,695"
State Mine Inspector,TOTAL,  ,"Pierce, William ""Bill"" (DEM)","860,604"
State Mine Inspector,TOTAL,  ,TOTAL,"1,818,299"
Corporation Commissioner,Apache,100.00%,"Glassman, Rodney (REP)","6,346"
Corporation Commissioner,Apache,100.00%,"Kennedy, Sandra (DEM)","14,491"
Corporation Commissioner,Apache,100.00%,"Olson, Justin (REP)","6,502"
Corporation Commissioner,Apache,100.00%,"Sears, Kiana Maria (DEM)","10,102"
Corporation Commissioner,Apache,100.00%,TOTAL,"37,441"
Corporation Commissioner,Cochise,100.00%,"Glassman, Rodney (REP)","24,012"
Corporation Commissioner,Cochise,100.00%,"Kennedy, Sandra (DEM)","16,652"
Corporation Commissioner,Cochise,100.00%,"Olson, Justin (REP)","23,748"
Corporation Commissioner,Cochise,100.00%,"Sears, Kiana Maria (DEM)","15,209"
Corporation Commissioner,Cochise,100.00%,TOTAL,"79,621"
Corporation Commissioner,Coconino,100.00%,"Glassman, Rodney (REP)","14,748"
Corporation Commissioner,Coconino,100.00%,"Kennedy, Sandra (DEM)","25,741"
Corporation Commissioner,Coconino,100.00%,"Olson, Justin (REP)","14,484"
Corporation Commissioner,Coconino,100.00%,"Sears, Kiana Maria (DEM)","23,625"
Corporation Commissioner,Coconino,100.00%,TOTAL,"78,598"
Corporation Commissioner,Gila,100.00%,"Glassman, Rodney (REP)","11,232"
Corporation Commissioner,Gila,100.00%,"Kennedy, Sandra (DEM)","7,222"
Corporation Commissioner,Gila,100.00%,"Olson, Justin (REP)","11,154"
Corporation Commissioner,Gila,100.00%,"Sears, Kiana Maria (DEM)","6,356"
Corporation Commissioner,Gila,100.00%,TOTAL,"35,964"
Corporation Commissioner,Graham,100.00%,"Glassman, Rodney (REP)","6,325"
Corporation Commissioner,Graham,100.00%,"Kennedy, Sandra (DEM)","3,071"
Corporation Commissioner,Graham,100.00%,"Olson, Justin (REP)","6,371"
Corporation Commissioner,Graham,100.00%,"Sears, Kiana Maria (DEM)","2,611"
Corporation Commissioner,Graham,100.00%,TOTAL,"18,378"
Corporation Commissioner,Greenlee,100.00%,"Glassman, Rodney (REP)","1,300"
Corporation Commissioner,Greenlee,100.00%,"Kennedy, Sandra (DEM)",982
Corporation Commissioner,Greenlee,100.00%,"Olson, Justin (REP)","1,325"
Corporation Commissioner,Greenlee,100.00%,"Sears, Kiana Maria (DEM)",952
Corporation Commissioner,Greenlee,100.00%,TOTAL,"4,559"
Corporation Commissioner,LaPaz,100.00%,"Glassman, Rodney (REP)","2,625"
Corporation Commissioner,LaPaz,100.00%,"Kennedy, Sandra (DEM)","1,352"
Corporation Commissioner,LaPaz,100.00%,"Olson, Justin (REP)","2,514"
Corporation Commissioner,LaPaz,100.00%,"Sears, Kiana Maria (DEM)","1,138"
Corporation Commissioner,LaPaz,100.00%,TOTAL,"7,629"
Corporation Commissioner,Maricopa,99.73%,"Glassman, Rodney (REP)","494,583"
Corporation Commissioner,Maricopa,99.73%,"Kennedy, Sandra (DEM)","494,038"
Corporation Commissioner,Maricopa,99.73%,"Olson, Justin (REP)","498,455"
Corporation Commissioner,Maricopa,99.73%,"Sears, Kiana Maria (DEM)","464,387"
Corporation Commissioner,Maricopa,99.73%,TOTAL,"1,951,463"
Corporation Commissioner,Mohave,100.00%,"Glassman, Rodney (REP)","39,778"
Corporation Commissioner,Mohave,100.00%,"Kennedy, Sandra (DEM)","15,406"
Corporation Commissioner,Mohave,100.00%,"Olson, Justin (REP)","39,116"
Corporation Commissioner,Mohave,100.00%,"Sears, Kiana Maria (DEM)","13,750"
Corporation Commissioner,Mohave,100.00%,TOTAL,"108,050"
Corporation Commissioner,Navajo,100.00%,"Glassman, Rodney (REP)","15,027"
Corporation Commissioner,Navajo,100.00%,"Kennedy, Sandra (DEM)","14,245"
Corporation Commissioner,Navajo,100.00%,"Olson, Justin (REP)","15,003"
Corporation Commissioner,Navajo,100.00%,"Sears, Kiana Maria (DEM)","11,411"
Corporation Commissioner,Navajo,100.00%,TOTAL,"55,686"
Corporation Commissioner,Pima,99.20%,"Glassman, Rodney (REP)","121,059"
Corporation Commissioner,Pima,99.20%,"Kennedy, Sandra (DEM)","168,554"
Corporation Commissioner,Pima,99.20%,"Olson, Justin (REP)","123,200"
Corporation Commissioner,Pima,99.20%,"Sears, Kiana Maria (DEM)","161,457"
Corporation Commissioner,Pima,99.20%,TOTAL,"574,270"
Corporation Commissioner,Pinal,99.02%,"Glassman, Rodney (REP)","43,178"
Corporation Commissioner,Pinal,99.02%,"Kennedy, Sandra (DEM)","31,724"
Corporation Commissioner,Pinal,99.02%,"Olson, Justin (REP)","43,620"
Corporation Commissioner,Pinal,99.02%,"Sears, Kiana Maria (DEM)","28,326"
Corporation Commissioner,Pinal,99.02%,TOTAL,"146,848"
Corporation Commissioner,SantaCruz,100.00%,"Glassman, Rodney (REP)","3,201"
Corporation Commissioner,SantaCruz,100.00%,"Kennedy, Sandra (DEM)","7,966"
Corporation Commissioner,SantaCruz,100.00%,"Olson, Justin (REP)","3,122"
Corporation Commissioner,SantaCruz,100.00%,"Sears, Kiana Maria (DEM)","7,072"
Corporation Commissioner,SantaCruz,100.00%,TOTAL,"21,361"
Corporation Commissioner,Yavapai,100.00%,"Glassman, Rodney (REP)","58,421"
Corporation Commissioner,Yavapai,100.00%,"Kennedy, Sandra (DEM)","35,551"
Corporation Commissioner,Yavapai,100.00%,"Olson, Justin (REP)","56,856"
Corporation Commissioner,Yavapai,100.00%,"Sears, Kiana Maria (DEM)","32,217"
Corporation Commissioner,Yavapai,100.00%,TOTAL,"183,045"
Corporation Commissioner,Yuma,97.73%,"Glassman, Rodney (REP)","18,391"
Corporation Commissioner,Yuma,97.73%,"Kennedy, Sandra (DEM)","16,233"
Corporation Commissioner,Yuma,97.73%,"Olson, Justin (REP)","17,879"
Corporation Commissioner,Yuma,97.73%,"Sears, Kiana Maria (DEM)","14,549"
Corporation Commissioner,Yuma,97.73%,TOTAL,"67,052"
Corporation Commissioner,TOTAL,  ,"Glassman, Rodney (REP)","860,226"
Corporation Commissioner,TOTAL,  ,"Kennedy, Sandra (DEM)","853,228"
Corporation Commissioner,TOTAL,  ,"Olson, Justin (REP)","863,349"
Corporation Commissioner,TOTAL,  ,"Sears, Kiana Maria (DEM)","793,162"
Corporation Commissioner,TOTAL,  ,TOTAL,"3,369,965"
U.S. Senator,Apache,100.00%,"Green, Angela (GRN)",947
U.S. Senator,Apache,100.00%,"McSally, Martha (REP)","7,771"
U.S. Senator,Apache,100.00%,"Sinema, Kyrsten (DEM)","16,148"
U.S. Senator,Apache,100.00%,TOTAL,"24,866"
U.S. Senator,Cochise,100.00%,"Green, Angela (GRN)","1,151"
U.S. Senator,Cochise,100.00%,"McSally, Martha (REP)","26,148"
